Voltage_(V),Mag_Field_(mT),Current_(A),File_name
60.10,46.2,0.656,V60
60.10,46.2,0.656,V60B
59.10,45.0,0.626,V59
59.10,45.0,0.626,V59B
58.10,44.1,0.608,V58
58.10,44.1,0.608,V58B
57.10,43.0,0.592,V57
57.10,43.0,0.592,V57B
56.10,42.0,0.574,V56
56.10,42.0,0.574,V56B
55.10,41.0,0.559,V55
55.10,41.0,0.559,V55B
54.10,39.8,0.547,V54
54.10,39.8,0.547,V54B
53.10,38.9,0.535,V53
53.10,38.9,0.535,V53B
52.10,38.0,0.523,V52
52.10,38.0,0.525,V52B
51.10,36.9,0.512,V51
51.10,36.9,0.512,V51B
50.10,35.6,0.500,V50
50.10,35.6,0.500,V50B
49.10,35.4,0.490,V49
49.10,35.4,0.490,V49B
48.10,35.0,0.480,V48
48.10,35.0,0.480,V48B
47.10,34.6,0.475,V47
47.10,34.6,0.475,V47B
46.10,33.9,0.465,V46
46.10,33.9,0.465,V46B
45.10,33.2,0.455,V45
45.10,33.2,0.455,V45B
44.10,32.4,0.445,V44
44.10,32.4,0.445,V44B
43.10,31.7,0.434,V43
43.10,31.7,0.434,V43B
42.10,30.9,0.424,V42
42.10,30.9,0.424,V42B
41.10,30.1,0.414,V41
41.10,30.1,0.414,V41B
40.10,29.4,0.404,V40
40.10,29.4,0.404,V40B
39.10,28.5,0.394,V39
39.10,28.5,0.394,V39B
38.10,27.7,0.383,V38
37.10,26.9,0.374,V37
36.10,25.8,0.364,V36
35.10,25.3,0.353,V35
34.10,24.6,0.343,V34
33.10,23.7,0.333,V33
32.10,22.9,0.323,V32
31.10,22.1,0.313,V31
30.10,21.3,0.303,V30
29.10,20.5,0.292,V29
