n_1,Am241,background
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,2
9,0,7
10,0,13
11,0,13
12,0,23
13,2,14
14,1,16
15,4,16
16,3,14
17,2,17
18,1,23
19,2,24
20,1,31
21,1,29
22,0,46
23,2,61
24,0,65
25,2,107
26,1,119
27,1,189
28,2,263
29,4,327
30,1,386
31,0,444
32,3,597
33,2,632
34,1,663
35,0,721
36,0,812
37,0,814
38,1,748
39,1,677
40,0,682
41,1,494
42,0,455
43,0,347
44,3,266
45,3,194
46,4,155
47,1,105
48,2,82
49,1,56
50,1,48
51,1,38
52,3,46
53,1,26
54,1,35
55,0,41
56,1,29
57,1,57
58,3,88
59,0,85
60,4,119
61,2,147
62,2,205
63,3,271
64,2,396
65,2,542
66,1,703
67,2,968
68,1,1275
69,4,1722
70,0,2213
71,1,2629
72,1,3040
73,0,3729
74,2,4165
75,1,4781
76,3,5138
77,2,5230
78,1,5517
79,1,5474
80,3,5322
81,2,5027
82,6,4518
83,2,4044
84,2,3341
85,4,2816
86,1,2303
87,2,1853
88,4,1439
89,4,1041
90,1,751
91,1,574
92,4,375
93,5,249
94,7,184
95,3,116
96,2,74
97,2,53
98,3,32
99,7,21
100,5,17
101,5,18
102,7,24
103,7,8
104,2,13
105,3,14
106,4,13
107,7,13
108,6,18
109,6,16
110,10,20
111,3,15
112,4,16
113,4,17
114,5,21
115,8,19
116,7,14
117,1,22
118,2,26
119,4,28
120,2,18
121,3,27
122,1,28
123,3,22
124,3,17
125,5,25
126,2,18
127,6,25
128,2,20
129,2,13
130,3,21
131,6,17
132,1,22
133,2,11
134,4,19
135,1,13
136,2,12
137,0,15
138,10,7
139,4,15
140,3,11
141,3,16
142,4,8
143,5,8
144,2,13
145,3,7
146,2,10
147,3,6
148,2,10
149,4,16
150,3,10
151,5,6
152,2,12
153,4,4
154,4,13
155,4,7
156,5,8
157,7,5
158,5,8
159,4,7
160,1,2
161,3,10
162,1,4
163,6,4
164,7,4
165,5,6
166,2,6
167,2,4
168,3,0
169,6,3
170,5,5
171,1,4
172,4,3
173,5,7
174,5,2
175,5,6
176,4,3
177,3,4
178,1,3
179,3,5
180,2,3
181,2,4
182,3,3
183,1,2
184,3,4
185,5,3
186,6,1
187,3,5
188,1,3
189,3,5
190,2,3
191,2,2
192,4,2
193,5,4
194,1,1
195,2,1
196,2,2
197,4,5
198,2,4
199,3,0
200,2,1
201,5,2
202,5,2
203,0,0
204,2,2
205,3,2
206,6,4
207,1,0
208,2,1
209,1,3
210,0,3
211,3,1
212,7,3
213,1,4
214,4,3
215,4,2
216,3,7
217,3,3
218,2,4
219,4,4
220,6,0
221,2,2
222,4,4
223,0,2
224,0,1
225,1,2
226,3,7
227,1,0
228,3,4
229,1,3
230,1,3
231,2,4
232,3,2
233,3,4
234,1,2
235,1,1
236,2,3
237,4,1
238,0,1
239,1,2
240,1,5
241,4,2
242,3,2
243,1,4
244,3,1
245,1,5
246,1,3
247,3,2
248,1,2
249,3,2
250,4,0
251,1,2
252,0,0
253,2,5
254,3,4
255,0,2
256,0,3
257,1,3
258,1,0
259,3,1
260,0,2
261,3,2
262,1,0
263,3,1
264,1,4
265,3,6
266,1,3
267,3,2
268,0,2
269,3,3
270,2,4
271,0,2
272,6,2
273,0,1
274,3,0
275,2,6
276,1,1
277,2,1
278,1,2
279,1,0
280,2,0
281,2,4
282,3,0
283,1,1
284,1,3
285,3,1
286,1,1
287,3,0
288,0,0
289,5,0
290,1,0
291,4,1
292,2,2
293,0,0
294,1,3
295,1,1
296,0,2
297,1,1
298,2,2
299,0,2
300,1,0
301,2,1
302,2,0
303,2,1
304,2,2
305,2,1
306,1,3
307,3,0
308,2,2
309,0,2
310,2,2
311,2,2
312,4,4
313,3,2
314,0,2
315,2,2
316,1,3
317,1,0
318,0,0
319,1,0
320,2,1
321,1,2
322,0,1
323,2,2
324,0,1
325,0,2
326,5,8
327,0,4
328,2,1
329,1,1
330,4,2
331,2,2
332,1,2
333,1,4
334,1,2
335,1,2
336,2,4
337,1,4
338,2,4
339,0,2
340,1,4
341,2,1
342,1,3
343,3,4
344,0,4
345,0,1
346,1,2
347,0,2
348,2,3
349,0,3
350,3,2
351,0,2
352,1,1
353,2,5
354,4,2
355,0,0
356,0,4
357,1,0
358,1,3
359,4,1
360,2,1
361,3,1
362,1,5
363,0,3
364,0,0
365,0,1
366,0,4
367,1,1
368,0,6
369,1,2
370,1,3
371,0,2
372,2,0
373,0,1
374,0,1
375,0,5
376,0,1
377,0,3
378,0,0
379,2,4
380,1,4
381,0,3
382,2,2
383,1,5
384,1,1
385,1,2
386,2,0
387,0,4
388,0,3
389,1,3
390,1,0
391,0,1
392,0,3
393,1,2
394,1,4
395,1,2
396,3,4
397,1,3
398,1,2
399,2,2
400,2,2
401,0,3
402,0,0
403,1,2
404,3,3
405,2,2
406,0,2
407,0,2
408,1,2
409,1,2
410,1,1
411,0,1
412,1,0
413,1,2
414,0,0
415,0,2
416,0,1
417,0,1
418,1,1
419,0,0
420,1,1
421,0,1
422,1,0
423,0,1
424,1,1
425,0,1
426,0,0
427,1,0
428,1,0
429,2,0
430,2,1
431,0,1
432,1,3
433,0,2
434,0,5
435,3,2
436,0,1
437,0,0
438,1,1
439,1,1
440,2,0
441,0,2
442,0,1
443,0,1
444,0,0
445,1,2
446,2,1
447,0,1
448,1,0
449,0,2
450,0,1
451,0,0
452,0,0
453,1,3
454,0,1
455,0,1
456,1,1
457,2,1
458,0,1
459,0,3
460,0,1
461,2,1
462,0,1
463,0,1
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,1,0
470,0,2
471,0,1
472,3,1
473,2,0
474,0,0
475,2,2
476,0,1
477,0,0
478,0,0
479,0,0
480,1,2
481,2,2
482,0,0
483,0,1
484,2,2
485,0,1
486,0,0
487,1,1
488,4,2
489,1,1
490,0,1
491,1,1
492,0,1
493,0,0
494,0,2
495,0,1
496,0,0
497,0,0
498,1,0
499,2,0
500,0,0
501,2,0
502,0,2
503,0,2
504,1,1
505,0,1
506,0,2
507,2,0
508,0,0
509,0,0
510,0,1
511,1,1
512,0,0
513,1,1
514,1,0
515,0,1
516,1,0
517,1,1
518,1,2
519,0,1
520,0,0
521,0,0
522,0,0
523,0,1
524,1,1
525,0,2
526,0,0
527,0,2
528,1,0
529,0,1
530,1,1
531,1,0
532,1,0
533,1,1
534,0,0
535,1,1
536,1,0
537,0,0
538,0,0
539,0,0
540,0,0
541,1,0
542,0,0
543,0,1
544,0,0
545,0,0
546,0,1
547,0,1
548,0,1
549,0,0
550,1,1
551,0,1
552,1,0
553,0,0
554,1,1
555,2,1
556,0,0
557,1,1
558,1,1
559,2,1
560,1,1
561,1,0
562,0,1
563,0,0
564,1,0
565,0,0
566,1,1
567,0,0
