n_1,straight,compton
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,0,2
13,2,1
14,1,5
15,5,2
16,6,6
17,0,4
18,2,6
19,4,1
20,1,7
21,0,3
22,2,4
23,1,1
24,5,1
25,2,3
26,2,3
27,4,3
28,6,5
29,1,6
30,1,2
31,1,1
32,3,2
33,2,3
34,4,0
35,4,0
36,4,4
37,4,3
38,2,3
39,4,4
40,1,3
41,4,4
42,1,1
43,3,1
44,1,1
45,0,2
46,4,6
47,3,4
48,4,6
49,3,1
50,3,3
51,3,2
52,2,1
53,1,2
54,0,5
55,5,0
56,3,3
57,3,4
58,1,3
59,3,1
60,1,2
61,1,2
62,0,4
63,0,2
64,1,3
65,4,1
66,3,3
67,1,3
68,2,1
69,1,3
70,1,3
71,3,4
72,3,0
73,4,2
74,4,3
75,1,5
76,3,5
77,2,2
78,0,2
79,3,5
80,2,2
81,2,4
82,1,1
83,4,5
84,1,3
85,5,4
86,3,4
87,4,3
88,0,2
89,6,4
90,3,2
91,1,2
92,2,1
93,3,5
94,2,2
95,6,3
96,2,2
97,1,3
98,1,6
99,3,4
100,3,2
101,1,6
102,3,4
103,4,7
104,2,4
105,3,0
106,3,1
107,1,1
108,5,2
109,3,8
110,6,2
111,4,6
112,5,5
113,3,5
114,2,4
115,4,3
116,3,2
117,3,8
118,3,5
119,5,4
120,4,7
121,3,6
122,0,3
123,3,5
124,2,2
125,3,6
126,4,5
127,2,2
128,4,5
129,4,7
130,4,7
131,5,5
132,4,4
133,3,6
134,3,3
135,4,5
136,3,4
137,3,2
138,5,2
139,7,2
140,5,1
141,0,6
142,3,3
143,4,2
144,2,0
145,2,8
146,3,6
147,3,4
148,3,6
149,2,4
150,2,4
151,2,3
152,1,6
153,8,4
154,6,5
155,7,6
156,1,6
157,3,4
158,5,5
159,3,4
160,3,4
161,3,7
162,7,6
163,4,3
164,7,2
165,3,1
166,3,6
167,12,4
168,2,2
169,1,3
170,5,2
171,0,3
172,2,5
173,3,3
174,6,6
175,5,9
176,1,6
177,5,3
178,5,3
179,5,9
180,7,5
181,3,3
182,3,7
183,1,4
184,1,4
185,6,7
186,2,4
187,7,6
188,4,2
189,8,5
190,6,4
191,3,7
192,8,4
193,8,5
194,5,4
195,4,2
196,4,2
197,6,5
198,8,6
199,7,6
200,3,4
201,5,5
202,7,5
203,1,5
204,3,4
205,6,8
206,3,8
207,3,12
208,8,4
209,6,10
210,7,5
211,3,5
212,5,5
213,6,8
214,6,3
215,1,7
216,12,9
217,5,7
218,5,10
219,8,18
220,3,6
221,11,11
222,10,7
223,10,8
224,3,6
225,11,7
226,15,7
227,9,16
228,5,7
229,3,11
230,9,14
231,10,11
232,6,16
233,8,9
234,15,11
235,8,10
236,7,10
237,9,9
238,11,12
239,7,13
240,15,9
241,16,9
242,9,6
243,9,18
244,6,8
245,14,14
246,8,5
247,7,17
248,10,7
249,12,12
250,17,8
251,17,8
252,6,10
253,10,6
254,12,24
255,17,7
256,11,10
257,7,9
258,17,13
259,12,8
260,8,6
261,7,15
262,14,16
263,8,16
264,11,5
265,10,9
266,9,5
267,13,7
268,6,10
269,7,15
270,15,10
271,9,8
272,9,7
273,7,10
274,8,10
275,7,5
276,4,11
277,11,7
278,6,10
279,5,7
280,7,12
281,9,7
282,11,6
283,6,11
284,6,4
285,5,10
286,6,11
287,12,10
288,3,10
289,7,5
290,11,10
291,7,5
292,10,9
293,5,8
294,6,9
295,9,9
296,10,6
297,7,10
298,6,8
299,8,8
300,7,8
301,11,4
302,7,5
303,8,3
304,8,9
305,4,3
306,6,11
307,9,13
308,4,7
309,10,10
310,9,5
311,4,5
312,6,5
313,4,17
314,7,11
315,8,10
316,7,7
317,9,8
318,2,10
319,4,5
320,9,8
321,5,10
322,6,10
323,9,10
324,3,5
325,7,8
326,6,2
327,10,5
328,5,5
329,8,2
330,4,6
331,8,7
332,5,5
333,7,8
334,7,11
335,11,10
336,5,5
337,4,10
338,6,8
339,9,13
340,11,6
341,5,8
342,9,8
343,4,5
344,12,12
345,11,9
346,2,11
347,3,5
348,8,11
349,4,4
350,6,8
351,6,7
352,8,4
353,6,9
354,1,8
355,10,5
356,3,12
357,10,13
358,8,7
359,12,8
360,3,11
361,3,9
362,5,7
363,5,13
364,7,8
365,12,8
366,9,4
367,6,10
368,7,9
369,6,6
370,6,9
371,5,11
372,11,7
373,7,7
374,9,8
375,9,3
376,11,8
377,9,6
378,9,10
379,5,4
380,11,6
381,7,8
382,6,6
383,8,7
384,5,7
385,4,5
386,7,5
387,7,5
388,8,4
389,3,8
390,8,4
391,5,6
392,8,11
393,10,11
394,6,8
395,9,7
396,7,6
397,9,3
398,10,7
399,12,10
400,4,7
401,9,4
402,7,5
403,8,5
404,4,4
405,12,8
406,6,3
407,3,3
408,5,9
409,4,2
410,7,3
411,11,8
412,2,7
413,12,6
414,9,7
415,10,4
416,9,8
417,2,6
418,3,13
419,6,12
420,7,0
421,4,5
422,7,9
423,4,4
424,2,3
425,2,5
426,6,5
427,5,8
428,3,7
429,5,10
430,8,11
431,7,9
432,7,7
433,12,7
434,7,9
435,4,7
436,6,9
437,6,8
438,7,4
439,6,6
440,5,8
441,9,1
442,7,6
443,3,9
444,3,2
445,4,7
446,2,10
447,5,4
448,2,5
449,6,9
450,6,5
451,1,6
452,1,10
453,6,3
454,4,9
455,4,4
456,8,6
457,9,11
458,5,2
459,4,10
460,6,6
461,4,2
462,6,11
463,8,5
464,6,6
465,6,5
466,7,9
467,5,12
468,9,8
469,5,3
470,8,11
471,10,8
472,8,3
473,8,6
474,6,5
475,6,10
476,5,7
477,5,13
478,7,11
479,11,9
480,2,1
481,3,3
482,4,4
483,4,2
484,7,8
485,7,13
486,5,2
487,6,9
488,6,4
489,6,7
490,8,6
491,7,8
492,5,9
493,6,2
494,5,4
495,8,8
496,4,5
497,2,7
498,7,3
499,5,4
500,5,7
501,5,7
502,3,6
503,5,2
504,8,10
505,10,2
506,6,9
507,4,5
508,6,8
509,6,2
510,8,5
511,8,9
512,5,5
513,5,13
514,0,10
515,3,3
516,5,12
517,7,2
518,1,2
519,10,4
520,4,7
521,5,10
522,6,5
523,6,11
524,9,4
525,5,10
526,4,10
527,10,6
528,4,8
529,6,0
530,6,7
531,6,9
532,2,5
533,7,9
534,3,5
535,4,5
536,5,9
537,4,7
538,4,8
539,12,7
540,6,6
541,8,4
542,3,10
543,5,6
544,7,4
545,6,6
546,8,6
547,8,4
548,5,6
549,11,9
550,4,5
551,8,10
552,1,8
553,7,11
554,7,12
555,6,5
556,8,5
557,2,8
558,6,5
559,4,3
560,2,4
561,5,7
562,3,7
563,7,8
564,6,3
565,5,3
566,1,5
567,8,4
568,7,6
569,7,4
570,6,7
