n_1,compton,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,1
10,1,0
11,2,0
12,3,2
13,3,4
14,1,2
15,5,0
16,1,3
17,0,0
18,1,0
19,4,1
20,1,2
21,2,1
22,5,0
23,3,1
24,1,2
25,2,3
26,1,0
27,0,0
28,3,2
29,2,2
30,1,1
31,4,1
32,1,1
33,0,0
34,3,1
35,3,5
36,2,2
37,1,0
38,0,0
39,1,1
40,1,3
41,1,2
42,3,2
43,2,0
44,2,1
45,0,1
46,0,2
47,1,2
48,4,3
49,2,1
50,1,1
51,2,0
52,4,1
53,2,1
54,4,0
55,2,2
56,3,3
57,5,2
58,3,1
59,5,1
60,2,2
61,5,0
62,1,3
63,5,0
64,5,1
65,2,1
66,5,0
67,3,3
68,0,0
69,2,0
70,5,2
71,3,0
72,2,2
73,1,1
74,3,3
75,0,3
76,2,0
77,4,2
78,3,3
79,1,4
80,4,1
81,3,2
82,4,1
83,4,3
84,5,2
85,1,2
86,4,1
87,2,3
88,2,2
89,4,1
90,7,5
91,1,2
92,2,0
93,5,3
94,3,2
95,3,5
96,3,2
97,5,3
98,1,1
99,1,0
100,3,4
101,2,2
102,3,2
103,2,3
104,3,0
105,1,3
106,2,1
107,1,4
108,3,4
109,5,2
110,7,2
111,3,1
112,1,3
113,3,4
114,4,2
115,1,3
116,7,6
117,1,0
118,3,5
119,1,6
120,4,6
121,2,4
122,2,2
123,2,1
124,4,2
125,3,4
126,5,7
127,4,4
128,6,5
129,4,1
130,2,2
131,4,4
132,4,5
133,3,1
134,4,0
135,4,0
136,5,3
137,1,3
138,6,4
139,2,2
140,4,1
141,2,0
142,4,2
143,5,4
144,4,4
145,5,2
146,4,4
147,6,0
148,1,2
149,5,2
150,3,2
151,6,3
152,3,0
153,6,2
154,3,3
155,2,2
156,5,6
157,2,2
158,2,4
159,9,2
160,3,4
161,3,1
162,2,4
163,3,4
164,5,4
165,6,5
166,3,3
167,5,3
168,1,4
169,7,1
170,4,5
171,1,4
172,4,0
173,1,2
174,5,2
175,3,5
176,3,4
177,5,2
178,0,4
179,3,1
180,3,2
181,2,4
182,8,4
183,5,2
184,8,5
185,3,3
186,6,3
187,4,3
188,2,1
189,4,2
190,6,6
191,6,1
192,2,4
193,4,5
194,4,5
195,2,2
196,3,4
197,4,5
198,2,5
199,3,3
200,3,3
201,3,1
202,1,6
203,5,4
204,5,3
205,4,3
206,3,5
207,4,5
208,7,6
209,5,3
210,5,4
211,0,4
212,7,3
213,7,6
214,3,5
215,9,6
216,7,7
217,7,3
218,7,8
219,8,4
220,6,10
221,12,8
222,8,3
223,6,13
224,6,9
225,7,5
226,7,10
227,9,5
228,8,7
229,6,12
230,6,5
231,8,12
232,10,12
233,7,15
234,13,7
235,10,13
236,10,8
237,12,4
238,10,6
239,10,7
240,15,14
241,9,8
242,7,12
243,12,11
244,7,12
245,9,10
246,8,11
247,11,11
248,11,5
249,14,14
250,8,14
251,13,11
252,14,6
253,9,9
254,14,9
255,11,19
256,14,12
257,8,9
258,10,11
259,8,9
260,7,4
261,7,8
262,11,6
263,6,3
264,9,8
265,8,8
266,9,6
267,9,5
268,7,12
269,8,11
270,7,3
271,10,6
272,12,9
273,7,7
274,16,5
275,4,11
276,11,12
277,9,6
278,13,6
279,4,7
280,11,10
281,7,8
282,5,4
283,8,11
284,6,4
285,10,7
286,13,10
287,14,4
288,8,3
289,5,5
290,7,10
291,4,8
292,8,5
293,3,4
294,9,4
295,9,3
296,9,4
297,7,3
298,10,3
299,11,7
300,9,11
301,11,4
302,6,7
303,5,6
304,3,8
305,8,5
306,11,5
307,9,5
308,7,8
309,5,4
310,10,8
311,9,6
312,8,8
313,6,5
314,4,5
315,7,6
316,7,7
317,6,4
318,10,9
319,7,8
320,8,8
321,5,4
322,6,5
323,8,7
324,12,5
325,8,6
326,9,3
327,2,8
328,10,8
329,6,7
330,5,5
331,11,4
332,14,5
333,6,6
334,7,7
335,2,7
336,7,8
337,6,11
338,3,5
339,12,5
340,7,10
341,6,8
342,7,8
343,9,6
344,6,6
345,6,5
346,8,4
347,7,7
348,9,6
349,9,5
350,4,8
351,6,9
352,8,7
353,6,5
354,5,11
355,5,7
356,11,6
357,6,6
358,7,4
359,9,11
360,5,7
361,12,6
362,9,5
363,10,3
364,8,7
365,9,6
366,5,4
367,11,7
368,6,6
369,7,6
370,8,4
371,8,6
372,9,7
373,8,4
374,4,8
375,5,7
376,7,6
377,6,4
378,7,3
379,7,8
380,6,4
381,7,7
382,9,5
383,6,8
384,10,7
385,6,4
386,13,4
387,6,3
388,5,9
389,6,8
390,9,5
391,6,1
392,3,7
393,11,10
394,11,5
395,4,5
396,9,6
397,2,3
398,11,6
399,11,6
400,1,4
401,3,1
402,11,3
403,9,10
404,12,6
405,5,6
406,8,4
407,6,5
408,7,2
409,3,5
410,7,4
411,5,6
412,7,6
413,5,5
414,7,7
415,4,2
416,4,8
417,5,10
418,6,5
419,7,6
420,10,5
421,4,6
422,7,5
423,9,7
424,6,5
425,5,7
426,6,8
427,8,5
428,6,5
429,6,3
430,6,5
431,9,4
432,7,8
433,7,9
434,3,3
435,9,5
436,8,5
437,5,8
438,4,4
439,9,3
440,2,7
441,5,7
442,5,7
443,12,3
444,10,7
445,8,7
446,8,3
447,4,6
448,7,4
449,4,6
450,6,8
451,8,7
452,9,4
453,9,6
454,5,3
455,7,2
456,8,6
457,3,3
458,8,5
459,9,5
460,8,9
461,6,5
462,4,11
463,5,8
464,9,5
465,8,4
466,2,3
467,3,7
468,4,5
469,4,10
470,4,2
471,11,4
472,5,6
473,9,4
474,13,3
475,8,4
476,12,8
477,1,3
478,6,2
479,6,2
480,6,4
481,9,4
482,7,6
483,13,4
484,5,5
485,11,5
486,6,8
487,12,7
488,4,4
489,12,7
490,9,5
491,4,5
492,7,8
493,11,4
494,9,6
495,7,4
496,7,1
497,8,4
498,4,8
499,7,7
500,6,7
501,6,6
502,4,8
503,9,7
504,7,7
505,4,5
506,5,6
507,6,7
508,5,7
509,5,5
510,2,5
511,9,3
512,4,7
513,7,7
514,3,4
515,3,5
516,5,6
517,1,7
518,6,6
519,8,5
520,4,6
521,4,6
522,11,3
523,11,9
524,8,2
525,8,3
526,6,6
527,8,5
528,2,4
529,6,8
530,5,5
531,8,6
532,10,6
533,3,6
534,10,4
535,8,14
536,5,7
537,8,4
538,5,9
539,4,5
540,8,4
541,2,4
542,6,7
543,7,4
544,5,4
545,7,5
546,6,6
547,3,4
548,5,10
549,7,7
550,1,5
551,7,8
552,8,8
553,7,4
554,7,5
555,7,3
556,6,6
557,6,8
558,8,0
559,6,3
560,6,8
561,5,5
562,5,4
563,7,6
564,6,7
565,5,5
566,5,3
567,8,5
568,4,2
569,7,4
570,2,2
