n_1,background
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,4
16,4
17,1
18,1
19,1
20,2
21,3
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,5
33,0
34,1
35,2
36,1
37,0
38,3
39,2
40,1
41,0
42,2
43,3
44,3
45,0
46,3
47,3
48,1
49,2
50,2
51,0
52,1
53,2
54,2
55,1
56,3
57,0
58,2
59,2
60,1
61,0
62,1
63,2
64,3
65,2
66,2
67,3
68,0
69,0
70,1
71,4
72,2
73,0
74,1
75,0
76,1
77,3
78,1
79,2
80,0
81,2
82,4
83,1
84,1
85,0
86,2
87,4
88,6
89,2
90,2
91,1
92,2
93,2
94,1
95,1
96,0
97,0
98,8
99,2
100,2
101,1
102,1
103,0
104,2
105,1
106,4
107,2
108,4
109,1
110,1
111,3
112,3
113,3
114,0
115,3
116,3
117,0
118,0
119,0
120,3
121,2
122,5
123,1
124,4
125,1
126,5
127,2
128,3
129,4
130,2
131,1
132,2
133,2
134,3
135,1
136,2
137,2
138,3
139,3
140,1
141,5
142,0
143,1
144,2
145,1
146,5
147,3
148,2
149,0
150,2
151,1
152,2
153,1
154,1
155,3
156,4
157,2
158,3
159,3
160,2
161,3
162,2
163,4
164,1
165,2
166,2
167,2
168,3
169,3
170,1
171,0
172,2
173,2
174,2
175,6
176,0
177,2
178,1
179,3
180,2
181,0
182,0
183,6
184,6
185,5
186,1
187,0
188,2
189,7
190,2
191,0
192,1
193,1
194,2
195,2
196,2
197,2
198,3
199,3
200,2
201,4
202,3
203,3
204,1
205,4
206,1
207,5
208,2
209,3
210,3
211,3
212,7
213,6
214,3
215,3
216,4
217,2
218,2
219,2
220,5
221,4
222,3
223,9
224,8
225,4
226,8
227,4
228,11
229,9
230,4
231,9
232,7
233,2
234,7
235,6
236,4
237,8
238,7
239,7
240,9
241,10
242,8
243,9
244,14
245,5
246,5
247,13
248,11
249,8
250,4
251,11
252,7
253,4
254,4
255,6
256,9
257,4
258,12
259,6
260,10
261,4
262,4
263,6
264,6
265,8
266,5
267,4
268,5
269,3
270,4
271,6
272,5
273,7
274,2
275,7
276,8
277,5
278,5
279,9
280,4
281,7
282,5
283,4
284,8
285,6
286,6
287,2
288,5
289,9
290,7
291,5
292,5
293,7
294,6
295,10
296,7
297,5
298,8
299,3
300,7
301,5
302,3
303,3
304,6
305,8
306,6
307,5
308,4
309,6
310,8
311,7
312,6
313,5
314,4
315,3
316,3
317,4
318,7
319,3
320,4
321,3
322,3
323,3
324,7
325,6
326,5
327,4
328,4
329,9
330,5
331,8
332,5
333,9
334,4
335,5
336,6
337,6
338,6
339,7
340,4
341,5
342,5
343,3
344,4
345,5
346,5
347,4
348,2
349,4
350,9
351,7
352,3
353,3
354,5
355,5
356,2
357,4
358,3
359,2
360,6
361,5
362,3
363,3
364,6
365,4
366,2
367,5
368,5
369,7
370,2
371,8
372,5
373,6
374,9
375,4
376,5
377,6
378,6
379,5
380,6
381,4
382,5
383,0
384,7
385,1
386,1
387,5
388,2
389,5
390,4
391,1
392,3
393,5
394,3
395,6
396,4
397,2
398,5
399,5
400,7
401,3
402,2
403,4
404,4
405,2
406,5
407,4
408,6
409,3
410,3
411,7
412,4
413,2
414,1
415,2
416,12
417,4
418,3
419,6
420,3
421,9
422,4
423,8
424,5
425,6
426,6
427,7
428,4
429,6
430,4
431,4
432,6
433,5
434,6
435,4
436,6
437,4
438,3
439,5
440,5
441,8
442,3
443,3
444,2
445,5
446,5
447,7
448,2
449,5
450,2
451,4
452,3
453,4
454,3
455,7
456,2
457,5
458,3
459,6
460,5
461,5
462,2
463,8
464,7
465,6
466,3
467,6
468,6
469,1
470,3
471,4
472,3
473,3
474,5
475,4
476,8
477,4
478,2
479,6
480,5
481,5
482,8
483,5
484,5
485,1
486,9
487,1
488,4
489,4
490,6
491,2
492,7
493,5
494,4
495,5
496,7
497,7
498,8
499,6
500,4
501,5
502,1
503,5
504,2
505,3
506,5
507,5
508,5
509,3
510,4
511,4
512,0
513,4
514,4
515,6
516,4
517,4
518,3
519,7
520,6
521,4
522,8
523,7
524,5
525,3
526,2
527,4
528,2
529,0
530,3
531,6
