n_1,compton,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,1
13,3,1
14,0,0
15,1,1
16,5,1
17,2,5
18,2,7
19,3,2
20,1,3
21,1,1
22,3,1
23,3,3
24,2,2
25,2,4
26,4,2
27,0,1
28,2,4
29,1,2
30,1,1
31,2,5
32,0,1
33,6,3
34,2,2
35,2,1
36,2,1
37,1,0
38,2,1
39,2,4
40,1,7
41,2,3
42,0,1
43,3,1
44,4,1
45,3,0
46,0,1
47,1,1
48,4,3
49,0,3
50,1,5
51,1,0
52,0,2
53,5,2
54,3,2
55,2,2
56,1,3
57,3,2
58,2,0
59,1,3
60,2,2
61,1,4
62,1,2
63,0,2
64,2,2
65,2,2
66,1,1
67,4,3
68,0,2
69,4,1
70,2,1
71,0,1
72,3,0
73,2,3
74,3,0
75,2,1
76,0,0
77,0,2
78,1,1
79,1,3
80,4,5
81,4,0
82,3,2
83,2,4
84,0,0
85,0,4
86,1,4
87,1,1
88,0,1
89,0,1
90,2,2
91,4,2
92,2,2
93,2,2
94,3,2
95,3,1
96,1,3
97,2,1
98,2,1
99,0,5
100,3,3
101,2,3
102,5,5
103,4,1
104,4,1
105,2,2
106,4,3
107,2,1
108,0,1
109,2,1
110,2,2
111,4,2
112,1,4
113,1,3
114,4,1
115,2,3
116,1,1
117,2,3
118,0,2
119,4,2
120,6,1
121,4,2
122,2,0
123,3,3
124,4,1
125,3,1
126,3,3
127,4,2
128,2,2
129,3,6
130,5,1
131,4,3
132,1,3
133,5,3
134,2,2
135,5,3
136,4,2
137,1,2
138,3,3
139,6,1
140,1,5
141,1,4
142,3,2
143,3,3
144,4,2
145,4,2
146,4,7
147,10,3
148,6,4
149,5,3
150,1,3
151,4,3
152,3,4
153,1,0
154,1,3
155,3,4
156,5,1
157,3,3
158,4,3
159,5,1
160,5,2
161,1,2
162,8,5
163,3,3
164,1,1
165,2,5
166,4,0
167,0,2
168,5,4
169,3,4
170,3,1
171,4,4
172,5,4
173,4,2
174,3,2
175,1,3
176,5,5
177,5,2
178,2,3
179,2,2
180,3,3
181,3,4
182,1,3
183,3,3
184,5,3
185,8,3
186,3,3
187,6,2
188,3,1
189,3,3
190,4,1
191,7,1
192,5,2
193,5,1
194,7,1
195,3,6
196,1,0
197,3,5
198,8,0
199,4,4
200,4,8
201,8,2
202,1,7
203,2,4
204,3,3
205,6,2
206,6,7
207,3,2
208,3,7
209,1,4
210,9,4
211,4,2
212,4,3
213,4,5
214,1,3
215,4,2
216,2,6
217,5,8
218,4,5
219,7,7
220,5,7
221,6,1
222,6,6
223,6,6
224,9,7
225,8,9
226,3,6
227,4,7
228,6,5
229,10,3
230,8,9
231,12,9
232,3,5
233,10,9
234,7,11
235,8,5
236,11,10
237,8,6
238,11,5
239,5,7
240,6,7
241,5,10
242,10,14
243,12,11
244,4,8
245,16,13
246,4,7
247,16,8
248,9,11
249,12,13
250,9,8
251,9,10
252,14,10
253,6,7
254,15,9
255,9,13
256,10,7
257,8,11
258,12,8
259,7,6
260,11,4
261,9,9
262,7,9
263,11,9
264,7,7
265,12,8
266,9,10
267,6,4
268,8,8
269,4,6
270,9,4
271,12,7
272,7,7
273,5,9
274,7,8
275,3,8
276,8,7
277,6,3
278,6,8
279,11,6
280,5,5
281,7,4
282,2,8
283,5,7
284,9,12
285,9,6
286,10,6
287,7,7
288,6,7
289,9,7
290,5,9
291,6,5
292,10,4
293,9,8
294,9,6
295,2,11
296,3,5
297,4,5
298,5,6
299,2,4
300,8,7
301,6,4
302,8,4
303,8,4
304,16,11
305,6,6
306,6,5
307,6,6
308,7,6
309,5,7
310,6,7
311,14,8
312,4,5
313,5,4
314,8,6
315,4,6
316,10,6
317,4,3
318,8,11
319,5,10
320,10,8
321,6,9
322,7,7
323,10,8
324,7,6
325,5,9
326,2,6
327,11,7
328,6,6
329,7,5
330,8,7
331,8,5
332,5,5
333,12,7
334,12,9
335,7,14
336,7,9
337,8,6
338,11,4
339,9,7
340,10,4
341,5,2
342,8,7
343,6,4
344,6,6
345,9,2
346,9,2
347,7,8
348,5,12
349,7,4
350,5,9
351,11,8
352,9,8
353,7,4
354,10,4
355,1,7
356,12,5
357,9,10
358,5,5
359,8,6
360,7,4
361,5,6
362,9,4
363,6,3
364,12,8
365,7,8
366,7,4
367,6,6
368,8,5
369,1,4
370,5,3
371,6,7
372,2,6
373,2,3
374,12,6
375,5,11
376,10,5
377,6,8
378,11,5
379,7,4
380,5,7
381,3,6
382,4,6
383,10,6
384,7,5
385,11,5
386,7,12
387,3,8
388,10,7
389,8,5
390,10,3
391,3,16
392,16,5
393,3,4
394,12,7
395,7,3
396,6,7
397,9,4
398,5,3
399,9,5
400,8,4
401,8,2
402,7,8
403,4,2
404,8,4
405,8,2
406,7,9
407,9,5
408,11,7
409,6,4
410,11,5
411,4,2
412,7,7
413,10,5
414,7,7
415,2,6
416,5,7
417,4,6
418,6,3
419,5,5
420,2,2
421,7,7
422,3,6
423,5,6
424,11,7
425,4,7
426,6,4
427,7,2
428,8,4
429,8,5
430,6,3
431,5,8
432,7,4
433,5,8
434,7,5
435,7,8
436,9,2
437,5,3
438,7,6
439,6,6
440,10,4
441,2,8
442,2,4
443,3,10
444,5,3
445,5,3
446,6,2
447,8,6
448,3,6
449,7,11
450,4,8
451,5,6
452,5,7
453,7,4
454,6,5
455,2,10
456,9,2
457,4,6
458,5,9
459,8,6
460,2,5
461,9,4
462,4,4
463,4,8
464,4,8
465,11,10
466,7,3
467,3,6
468,3,5
469,9,8
470,3,7
471,4,4
472,6,2
473,5,1
474,8,1
475,4,7
476,8,3
477,4,3
478,6,6
479,4,1
480,9,1
481,6,3
482,15,7
483,8,4
484,9,6
485,5,2
486,11,5
487,8,7
488,8,5
489,3,6
490,3,7
491,6,4
492,7,5
493,5,7
494,3,3
495,9,1
496,8,4
497,6,2
498,4,10
499,4,6
500,5,6
501,8,5
502,3,2
503,4,1
504,10,4
505,8,5
506,7,9
507,6,2
508,3,4
509,5,7
510,8,5
511,2,5
512,2,7
513,3,2
514,2,7
515,5,6
516,8,5
517,3,6
518,7,1
519,8,6
520,8,8
521,7,4
522,7,3
523,4,6
524,9,4
525,4,5
526,7,8
527,7,2
528,6,7
529,6,6
530,6,6
531,5,3
532,7,2
533,2,5
534,2,4
535,4,1
536,5,4
537,5,7
538,2,6
539,10,4
540,4,8
541,8,8
542,4,7
543,2,3
544,3,4
545,4,10
546,4,4
547,4,4
548,5,1
549,7,4
550,4,4
551,8,3
552,4,5
553,9,1
554,2,3
555,4,3
556,2,9
557,6,3
558,4,4
559,4,5
560,7,4
561,4,5
562,7,2
563,2,7
564,2,3
565,8,2
566,4,3
567,4,2
568,10,2
569,4,3
570,7,7
