E_1 / keV,n_1,Cs_137,Am-241,Co_57
0,0,3,0,0
3.3,1,12,0,0
6.6,2,41,0,0
9.8,3,57,0,0
13.1,4,78,3,1
16.4,5,92,29,2
19.7,6,138,33,11
22.9,7,136,19,28
26.2,8,170,17,37
29.5,9,183,55,41
32.8,10,176,121,53
36,11,187,206,60
39.3,12,177,314,50
42.6,13,180,461,56
45.9,14,178,778,63
49.2,15,163,1142,96
52.4,16,156,1537,77
55.7,17,188,1550,86
59,18,203,1350,94
62.3,19,160,973,124
65.5,20,199,623,158
68.8,21,179,272,133
72.1,22,189,119,151
75.4,23,193,40,140
78.7,24,202,22,148
81.9,25,186,14,132
85.2,26,191,17,134
88.5,27,202,21,139
91.8,28,193,17,130
95,29,214,14,122
98.3,30,205,10,112
101.6,31,181,18,128
104.9,32,199,14,130
108.1,33,205,10,162
111.4,34,195,22,201
114.7,35,209,18,236
118,36,201,17,281
121.3,37,193,10,355
124.5,38,223,20,419
127.8,39,173,13,456
131.1,40,224,10,453
134.4,41,237,13,416
137.6,42,211,7,303
140.9,43,220,21,268
144.2,44,226,11,237
147.5,45,227,16,171
150.8,46,229,14,157
154,47,267,12,155
157.3,48,253,11,114
160.6,49,254,10,97
163.9,50,256,11,110
167.1,51,293,6,84
170.4,52,282,7,88
173.7,53,273,12,97
177,54,291,8,88
180.2,55,316,10,91
183.5,56,318,7,97
186.8,57,302,12,91
190.1,58,314,13,91
193.4,59,388,5,87
196.6,60,363,9,65
199.9,61,335,7,82
203.2,62,354,11,85
206.5,63,368,12,73
209.7,64,376,11,89
213,65,350,8,78
216.3,66,372,3,81
219.6,67,383,11,85
222.9,68,392,9,77
226.1,69,371,13,73
229.4,70,404,11,61
232.7,71,347,10,57
236,72,346,8,61
239.2,73,359,10,85
242.5,74,394,2,63
245.8,75,380,8,56
249.1,76,389,13,81
252.3,77,374,8,65
255.6,78,410,2,66
258.9,79,371,8,65
262.2,80,333,11,62
265.5,81,393,4,68
268.7,82,360,6,59
272,83,344,5,71
275.3,84,343,9,69
278.6,85,384,9,56
281.8,86,379,6,68
