n_1,compton,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,1,0
11,2,3
12,11,3
13,7,9
14,3,4
15,6,8
16,3,4
17,5,10
18,5,7
19,10,7
20,9,9
21,7,6
22,7,10
23,7,4
24,9,6
25,3,6
26,5,9
27,3,5
28,6,5
29,7,5
30,9,8
31,6,4
32,5,1
33,5,8
34,4,5
35,6,11
36,9,5
37,1,10
38,8,8
39,6,4
40,8,1
41,11,9
42,5,5
43,5,10
44,5,5
45,10,6
46,11,7
47,9,5
48,8,5
49,3,7
50,8,8
51,4,9
52,6,5
53,3,11
54,10,11
55,4,6
56,7,6
57,7,4
58,5,4
59,5,8
60,5,9
61,10,9
62,7,6
63,6,7
64,7,9
65,5,7
66,3,10
67,9,7
68,4,8
69,9,7
70,8,5
71,4,4
72,8,3
73,6,6
74,4,6
75,6,3
76,6,6
77,4,10
78,5,6
79,7,7
80,10,7
81,7,7
82,9,12
83,4,7
84,8,12
85,6,3
86,8,6
87,9,11
88,1,7
89,10,7
90,8,9
91,11,10
92,4,9
93,9,11
94,10,10
95,8,12
96,8,6
97,6,4
98,8,10
99,4,11
100,8,9
101,7,11
102,8,4
103,10,11
104,8,5
105,6,7
106,12,13
107,7,15
108,10,8
109,14,6
110,12,13
111,7,11
112,11,11
113,9,10
114,11,7
115,10,13
116,9,5
117,12,12
118,9,11
119,13,8
120,8,4
121,10,12
122,10,10
123,7,12
124,8,8
125,6,8
126,9,11
127,12,15
128,11,7
129,10,11
130,8,13
131,9,11
132,8,15
133,11,12
134,7,10
135,9,8
136,11,12
137,8,13
138,10,9
139,8,8
140,9,16
141,14,12
142,16,16
143,8,17
144,14,14
145,11,12
146,15,6
147,18,7
148,10,11
149,17,10
150,10,10
151,12,9
152,9,15
153,12,9
154,16,12
155,3,15
156,10,12
157,8,13
158,12,7
159,12,8
160,10,12
161,12,15
162,9,10
163,11,8
164,11,11
165,13,10
166,18,15
167,10,10
168,14,6
169,6,12
170,13,12
171,14,13
172,8,10
173,9,10
174,11,8
175,12,11
176,10,13
177,16,8
178,10,19
179,11,9
180,7,7
181,12,6
182,16,16
183,11,10
184,17,10
185,16,12
186,8,9
187,10,12
188,11,6
189,10,13
190,12,6
191,14,3
192,11,14
193,12,9
194,14,10
195,11,11
196,9,14
197,11,13
198,14,10
199,7,9
200,15,10
201,10,12
202,4,14
203,7,12
204,17,10
205,16,13
206,12,10
207,12,16
208,10,12
209,14,10
210,18,17
211,18,14
212,17,12
213,5,11
214,16,16
215,17,15
216,24,15
217,14,16
218,18,19
219,21,22
220,12,22
221,9,27
222,14,28
223,21,30
224,17,23
225,19,19
226,26,18
227,16,27
228,17,26
229,22,16
230,30,22
231,23,36
232,18,26
233,26,28
234,27,25
235,28,26
236,21,29
237,37,27
238,20,41
239,30,32
240,31,26
241,36,19
242,18,33
243,29,34
244,26,27
245,30,30
246,21,29
247,29,35
248,28,23
249,28,25
250,29,25
251,26,25
252,21,26
253,23,35
254,29,23
255,27,23
256,26,23
257,34,15
258,21,24
259,30,20
260,22,23
261,17,15
262,18,25
263,12,28
264,16,11
265,33,16
266,21,18
267,23,22
268,20,16
269,20,25
270,19,14
271,21,13
272,15,26
273,17,22
274,18,22
275,18,17
276,17,21
277,19,13
278,22,18
279,17,15
280,17,18
281,20,22
282,17,15
283,22,28
284,16,16
285,10,17
286,27,15
287,24,18
288,13,21
289,18,20
290,16,18
291,10,14
292,16,12
293,18,19
294,15,13
295,12,15
296,15,14
297,17,9
298,15,22
299,20,20
300,6,13
301,18,14
302,15,15
303,10,19
304,15,14
305,13,10
306,7,12
307,15,15
308,9,5
309,20,20
310,14,9
311,9,19
312,13,24
313,10,13
314,11,13
315,15,13
316,14,13
317,12,10
318,13,9
319,14,10
320,12,7
321,21,20
322,16,17
323,19,8
324,12,14
325,8,14
326,15,11
327,14,8
328,17,17
329,18,12
330,15,11
331,12,11
332,16,9
333,14,13
334,15,16
335,12,15
336,15,12
337,10,10
338,17,9
339,11,13
340,17,8
341,10,15
342,12,15
343,11,9
344,19,9
345,15,13
346,8,16
347,15,8
348,25,5
349,10,13
350,15,12
351,10,10
352,14,19
353,11,16
354,13,15
355,16,12
356,9,9
357,15,15
358,14,17
359,15,13
360,13,15
361,8,10
362,8,15
363,18,16
364,10,10
365,10,8
366,18,15
367,16,16
368,15,13
369,13,8
370,13,9
371,20,15
372,11,15
373,9,16
374,12,12
375,6,11
376,14,14
377,10,16
378,10,14
379,10,8
380,13,10
381,14,11
382,11,10
383,10,17
384,8,15
385,15,12
386,14,9
387,17,13
388,14,23
389,10,14
390,13,8
391,7,11
392,11,12
393,10,10
394,16,11
395,12,8
396,8,12
397,16,15
398,11,14
399,13,10
400,10,12
401,13,9
402,14,11
403,15,15
404,17,18
405,10,12
406,12,9
407,19,15
408,9,15
409,15,15
410,14,13
411,11,10
412,11,12
413,7,7
414,14,11
415,11,14
416,13,15
417,13,13
418,10,24
419,12,11
420,12,10
421,12,11
422,10,8
423,10,13
424,7,14
425,11,11
426,16,13
427,14,8
428,15,13
429,16,10
430,8,8
431,15,11
432,8,15
433,10,12
434,12,20
435,12,12
436,15,6
437,19,9
438,9,6
439,11,14
440,17,6
441,15,15
442,10,10
443,13,10
444,9,11
445,12,11
446,7,11
447,10,8
448,9,8
449,13,15
450,16,9
451,20,12
452,8,12
453,10,8
454,10,15
455,17,15
456,11,11
457,20,6
458,15,9
459,19,16
460,16,6
461,16,14
462,14,11
463,7,11
464,13,12
465,16,10
466,9,11
467,17,9
468,13,11
469,15,16
470,12,11
471,14,12
472,13,14
473,15,10
474,13,14
475,10,11
476,15,8
477,19,15
478,6,14
479,15,14
480,13,10
481,18,11
482,14,8
483,8,11
484,8,13
485,15,22
486,13,8
487,6,14
488,13,16
489,12,12
490,15,16
491,13,9
492,6,14
493,7,10
494,11,12
495,8,8
496,11,12
497,13,13
498,14,14
499,9,10
500,10,14
501,11,8
502,6,10
503,8,13
504,15,10
505,8,9
506,13,12
507,18,9
508,12,17
509,7,13
510,12,9
511,11,16
512,8,10
513,12,15
514,11,8
515,16,9
516,10,12
517,8,10
518,8,10
519,9,17
520,10,16
521,16,13
522,10,11
523,9,6
524,15,10
525,19,11
526,9,12
527,12,10
528,9,17
529,6,12
530,9,20
531,11,11
532,16,16
533,10,13
534,10,8
535,12,14
536,16,18
537,10,9
538,17,15
539,12,17
540,14,17
541,18,11
542,11,13
543,10,19
544,14,22
545,9,8
546,15,13
547,12,14
548,18,15
549,14,11
550,8,16
551,12,9
552,14,10
553,9,15
554,13,8
555,10,15
556,10,17
557,16,11
558,20,12
559,7,11
560,10,17
561,11,8
562,17,11
563,12,19
564,8,9
565,7,10
566,9,10
567,17,10
568,16,10
569,15,21
570,16,8
