n_1,compton,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,1,0
11,0,1
12,1,0
13,3,3
14,2,0
15,1,2
16,3,2
17,2,1
18,1,3
19,2,1
20,0,1
21,1,0
22,3,0
23,2,1
24,1,0
25,2,2
26,2,2
27,0,3
28,1,0
29,0,1
30,1,2
31,2,1
32,2,1
33,3,2
34,2,0
35,3,3
36,2,1
37,0,2
38,2,1
39,0,5
40,1,0
41,1,1
42,2,2
43,0,2
44,4,2
45,1,0
46,0,1
47,5,4
48,0,0
49,1,0
50,1,1
51,0,1
52,3,2
53,0,1
54,1,3
55,2,1
56,1,4
57,2,1
58,6,0
59,1,0
60,2,1
61,1,3
62,2,0
63,1,1
64,1,0
65,4,1
66,0,1
67,4,2
68,3,0
69,3,3
70,1,3
71,3,1
72,1,2
73,4,1
74,2,4
75,1,0
76,2,3
77,1,2
78,3,0
79,0,3
80,2,4
81,3,4
82,1,4
83,4,3
84,1,2
85,3,1
86,3,1
87,0,2
88,3,2
89,3,3
90,1,1
91,0,2
92,0,2
93,5,3
94,0,5
95,2,2
96,4,4
97,3,3
98,2,2
99,2,3
100,3,3
101,0,1
102,2,2
103,5,4
104,2,1
105,1,0
106,3,3
107,3,3
108,1,2
109,5,2
110,2,2
111,0,2
112,2,4
113,2,0
114,2,0
115,0,3
116,2,3
117,1,2
118,0,2
119,1,4
120,1,4
121,1,0
122,4,1
123,2,4
124,2,2
125,1,2
126,5,1
127,2,2
128,3,1
129,0,3
130,4,5
131,2,0
132,3,1
133,3,0
134,1,1
135,3,2
136,3,1
137,4,2
138,0,0
139,3,2
140,3,1
141,2,1
142,8,3
143,5,2
144,2,4
145,6,0
146,5,5
147,2,2
148,4,2
149,3,4
150,3,4
151,4,3
152,3,5
153,6,4
154,3,4
155,3,2
156,9,3
157,5,4
158,8,3
159,6,4
160,1,2
161,4,0
162,5,0
163,8,1
164,3,2
165,2,1
166,7,0
167,6,2
168,1,4
169,4,2
170,3,2
171,2,2
172,4,3
173,4,4
174,2,0
175,2,2
176,5,8
177,3,3
178,2,4
179,5,5
180,1,2
181,2,1
182,4,1
183,6,4
184,2,2
185,5,2
186,2,1
187,1,2
188,3,4
189,5,3
190,4,2
191,4,4
192,4,1
193,3,6
194,3,1
195,3,9
196,2,0
197,3,4
198,3,2
199,7,3
200,4,2
201,2,2
202,3,3
203,5,7
204,7,3
205,5,2
206,1,1
207,8,2
208,3,3
209,4,3
210,6,3
211,9,4
212,5,3
213,3,4
214,9,10
215,3,5
216,5,3
217,7,4
218,6,4
219,3,4
220,7,4
221,5,4
222,5,5
223,2,6
224,8,6
225,10,9
226,6,8
227,7,8
228,4,4
229,6,5
230,9,8
231,9,7
232,8,12
233,9,7
234,15,5
235,10,10
236,8,11
237,9,8
238,4,8
239,9,8
240,5,5
241,8,6
242,8,4
243,5,9
244,7,12
245,7,7
246,6,9
247,7,7
248,5,13
249,12,11
250,8,5
251,8,13
252,12,11
253,5,11
254,5,7
255,6,14
256,9,9
257,6,10
258,8,6
259,6,6
260,6,7
261,5,8
262,4,6
263,10,5
264,12,8
265,10,11
266,8,3
267,5,2
268,7,12
269,5,5
270,12,6
271,8,13
272,2,5
273,3,11
274,4,9
275,2,9
276,10,11
277,9,10
278,7,8
279,5,4
280,8,4
281,3,5
282,2,6
283,12,12
284,10,12
285,8,7
286,6,8
287,5,5
288,8,6
289,11,6
290,6,7
291,9,8
292,14,5
293,6,12
294,9,8
295,3,9
296,9,8
297,3,4
298,4,5
299,4,6
300,7,7
301,6,8
302,5,9
303,12,1
304,9,3
305,5,3
306,12,8
307,7,7
308,3,8
309,4,1
310,6,3
311,8,7
312,10,5
313,5,10
314,9,6
315,4,5
316,7,6
317,10,10
318,8,5
319,3,3
320,5,8
321,10,4
322,7,7
323,5,6
324,4,6
325,3,3
326,8,7
327,8,4
328,10,4
329,5,9
330,6,3
331,5,4
332,6,5
333,6,1
334,8,11
335,4,7
336,9,8
337,6,2
338,7,6
339,7,2
340,6,4
341,8,7
342,4,8
343,4,7
344,4,7
345,4,9
346,10,10
347,8,9
348,5,3
349,6,4
350,6,3
351,7,4
352,8,12
353,8,4
354,6,4
355,8,3
356,2,10
357,8,3
358,7,6
359,6,9
360,6,6
361,8,5
362,8,10
363,6,4
364,4,4
365,6,8
366,11,4
367,5,6
368,7,7
369,8,10
370,4,2
371,4,5
372,8,9
373,8,6
374,6,3
375,8,3
376,5,2
377,10,5
378,10,4
379,7,6
380,7,6
381,6,3
382,5,8
383,8,7
384,9,4
385,5,4
386,7,6
387,6,4
388,5,7
389,6,5
390,11,6
391,5,5
392,10,10
393,6,5
394,7,6
395,3,3
396,5,7
397,5,2
398,7,6
399,5,11
400,10,8
401,5,9
402,5,5
403,6,7
404,7,7
405,6,3
406,5,2
407,4,13
408,3,6
409,6,4
410,9,5
411,3,7
412,2,6
413,5,1
414,12,3
415,8,6
416,5,4
417,5,5
418,6,8
419,5,7
420,3,7
421,6,9
422,5,3
423,5,1
424,3,9
425,7,3
426,6,7
427,3,3
428,3,10
429,5,8
430,2,8
431,5,4
432,4,8
433,8,6
434,6,6
435,2,6
436,8,6
437,6,5
438,10,2
439,2,5
440,6,6
441,4,2
442,4,5
443,1,4
444,6,6
445,5,9
446,7,5
447,4,3
448,3,6
449,5,6
450,6,8
451,5,2
452,13,7
453,9,5
454,4,6
455,6,2
456,3,7
457,5,7
458,5,3
459,4,3
460,7,5
461,1,7
462,5,6
463,5,6
464,3,5
465,3,6
466,1,6
467,6,7
468,2,0
469,7,5
470,6,5
471,6,3
472,4,5
473,3,2
474,6,8
475,9,3
476,3,2
477,5,5
478,4,6
479,5,6
480,5,5
481,7,3
482,6,6
483,4,7
484,6,6
485,0,8
486,3,3
487,2,0
488,2,7
489,6,2
490,7,4
491,2,4
492,8,5
493,4,4
494,5,6
495,6,5
496,3,8
497,3,1
498,7,6
499,2,4
500,8,5
501,5,6
502,5,4
503,6,7
504,4,3
505,4,3
506,4,5
507,1,5
508,6,9
509,5,9
510,7,3
511,5,4
512,4,3
513,7,8
514,8,7
515,4,4
516,4,5
517,3,6
518,5,8
519,6,5
520,3,5
521,4,8
522,6,3
523,4,8
524,10,2
525,5,6
526,4,5
527,7,2
528,2,6
529,6,5
530,3,3
531,2,3
532,1,6
533,6,5
534,2,5
535,3,3
536,5,10
537,3,3
538,7,4
539,6,6
540,4,3
541,4,1
542,3,5
543,4,4
544,3,3
545,6,10
546,6,4
547,7,5
548,4,4
549,4,3
550,8,6
551,2,2
552,5,6
553,5,8
554,7,5
555,3,4
556,4,4
557,10,6
558,5,3
559,6,4
560,4,2
561,4,2
562,5,5
563,3,7
564,4,6
565,2,8
566,5,1
567,3,4
568,5,2
569,2,5
570,6,7
