n_1,N_1,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,0
12,0,0
13,1,0
14,1,0
15,1,1
16,1,1
17,1,1
18,1,0
19,2,0
20,2,0
21,2,1
22,0,1
23,3,2
24,1,2
25,2,0
26,3,1
27,1,1
28,0,2
29,3,0
30,0,0
31,1,0
32,0,1
33,3,0
34,1,3
35,3,2
36,1,2
37,2,1
38,2,1
39,2,2
40,2,2
41,0,2
42,2,0
43,1,1
44,4,2
45,0,2
46,0,1
47,1,2
48,3,1
49,3,1
50,1,2
51,2,1
52,2,3
53,2,1
54,3,4
55,2,2
56,0,4
57,3,2
58,4,1
59,4,1
60,3,0
61,0,2
62,2,1
63,1,0
64,3,0
65,3,1
66,2,4
67,2,0
68,2,0
69,1,1
70,1,0
71,0,0
72,1,0
73,1,0
74,1,1
75,0,0
76,1,2
77,2,0
78,2,2
79,0,1
80,1,1
81,3,1
82,3,0
83,1,1
84,2,2
85,2,0
86,0,0
87,2,1
88,3,1
89,1,1
90,1,0
91,1,0
92,0,3
93,1,2
94,1,1
95,0,3
96,3,0
97,2,2
98,1,1
99,5,2
100,1,2
101,1,1
102,1,1
103,1,1
104,4,2
105,1,0
106,0,1
107,5,4
108,6,3
109,1,1
110,4,2
111,0,0
112,3,1
113,2,1
114,2,0
115,1,1
116,3,1
117,5,3
118,2,2
119,3,2
120,2,4
121,3,2
122,0,1
123,1,2
124,0,4
125,3,2
126,0,4
127,1,1
128,4,0
129,1,0
130,0,6
131,4,0
132,4,2
133,1,3
134,2,0
135,2,3
136,4,0
137,5,3
138,4,5
139,3,1
140,1,0
141,3,4
142,2,2
143,1,2
144,5,2
145,6,1
146,2,3
147,1,3
148,2,1
149,2,3
150,0,3
151,2,2
152,1,5
153,3,2
154,3,3
155,0,4
156,2,1
157,5,0
158,1,1
159,3,4
160,3,1
161,3,2
162,4,1
163,3,2
164,4,5
165,4,1
166,3,2
167,4,2
168,2,2
169,3,2
170,2,5
171,0,0
172,5,2
173,3,1
174,0,0
175,7,2
176,1,1
177,2,2
178,0,3
179,2,3
180,4,3
181,1,1
182,3,2
183,3,1
184,1,3
185,5,4
186,3,4
187,2,2
188,2,3
189,3,1
190,5,2
191,6,1
192,1,1
193,5,5
194,4,1
195,2,1
196,2,1
197,2,3
198,4,1
199,5,2
200,4,2
201,1,4
202,7,2
203,3,5
204,3,0
205,5,5
206,5,0
207,3,4
208,3,6
209,6,3
210,2,1
211,2,3
212,4,2
213,3,3
214,2,4
215,2,3
216,6,6
217,4,3
218,5,3
219,5,6
220,6,6
221,4,4
222,2,3
223,4,1
224,5,4
225,7,3
226,5,5
227,4,1
228,3,7
229,5,3
230,5,4
231,5,5
232,9,9
233,10,6
234,9,7
235,8,5
236,9,6
237,8,6
238,7,8
239,8,6
240,7,7
241,11,5
242,6,3
243,7,9
244,6,6
245,6,12
246,9,8
247,4,5
248,7,9
249,11,6
250,6,3
251,8,4
252,8,7
253,6,8
254,8,8
255,7,11
256,7,5
257,11,9
258,8,3
259,6,3
260,2,12
261,10,9
262,5,7
263,9,4
264,8,7
265,11,7
266,7,7
267,6,7
268,5,8
269,12,9
270,6,3
271,7,8
272,8,8
273,7,3
274,9,7
275,11,7
276,7,6
277,6,1
278,8,6
279,8,5
280,10,2
281,6,4
282,4,6
283,5,3
284,9,7
285,5,2
286,9,5
287,5,2
288,6,5
289,6,3
290,8,5
291,5,8
292,5,8
293,4,8
294,4,3
295,2,1
296,6,6
297,9,3
298,4,8
299,6,2
300,5,4
301,12,7
302,5,9
303,5,3
304,3,6
305,6,6
306,5,3
307,10,7
308,7,5
309,3,6
310,9,3
311,5,6
312,6,2
313,4,1
314,2,9
315,8,6
316,6,3
317,7,5
318,7,6
319,7,4
320,8,5
321,8,7
322,7,1
323,3,5
324,6,3
325,8,11
326,4,6
327,6,8
328,7,3
329,5,5
330,4,3
331,4,3
332,4,0
333,5,5
334,2,7
335,3,4
336,10,9
337,6,3
338,8,4
339,4,4
340,10,5
341,9,4
342,4,3
343,3,3
344,4,1
345,3,8
346,4,8
347,5,6
348,5,4
349,6,8
350,6,9
351,6,5
352,7,1
353,5,2
354,9,3
355,5,7
356,6,6
357,6,6
358,5,4
359,6,3
360,2,6
361,3,2
362,5,3
363,10,10
364,6,5
365,7,4
366,9,5
367,8,4
368,6,4
369,9,5
370,3,5
371,5,6
372,6,3
373,8,8
374,4,4
375,6,3
376,6,2
377,8,7
378,5,7
379,6,7
380,8,8
381,6,5
382,3,7
383,4,8
384,3,8
385,4,4
386,6,8
387,3,10
388,5,8
389,11,7
390,4,1
391,3,3
392,2,6
393,5,8
394,5,8
395,8,5
396,2,6
397,6,4
398,5,2
399,7,5
400,5,6
401,4,3
402,6,3
403,3,5
404,5,2
405,4,5
406,4,3
407,3,5
408,5,5
409,3,5
410,7,3
411,5,5
412,5,2
413,5,1
414,6,3
415,8,4
416,6,8
417,4,4
418,8,6
419,5,4
420,6,2
421,5,2
422,7,3
423,8,3
424,5,2
425,3,5
426,7,7
427,5,2
428,5,8
429,5,1
430,5,4
431,3,10
432,5,4
433,6,7
434,6,4
435,5,3
436,6,6
437,0,1
438,4,3
439,2,1
440,5,2
441,3,3
442,8,2
443,6,1
444,5,8
445,0,2
446,9,4
447,5,5
448,4,2
449,6,3
450,7,3
451,2,1
452,5,3
453,5,6
454,6,4
455,4,6
456,4,1
457,4,7
458,2,5
459,7,4
460,0,4
461,9,6
462,4,1
463,4,4
464,2,6
465,6,3
466,4,3
467,1,5
468,3,5
469,5,3
470,2,3
471,8,7
472,6,5
473,5,4
474,1,4
475,4,1
476,2,1
477,5,3
478,2,6
479,4,6
480,4,1
481,5,4
482,3,4
483,6,5
484,3,4
485,6,2
486,4,2
487,4,8
488,5,4
489,1,3
490,3,3
491,7,4
492,5,1
493,5,6
494,6,6
495,4,8
496,4,3
497,3,5
498,2,2
499,4,4
500,3,3
501,4,5
502,7,6
503,3,2
504,4,2
505,4,5
506,3,3
507,3,1
508,2,1
509,3,5
510,3,6
511,5,7
512,6,2
513,2,2
514,2,3
515,2,5
516,4,3
517,2,5
518,9,1
519,4,5
520,2,0
521,5,1
522,0,4
523,7,1
524,5,1
525,2,6
526,6,2
527,4,1
528,2,3
529,6,3
530,5,2
531,5,5
532,4,2
533,5,5
534,1,7
535,1,1
536,5,5
537,4,5
538,6,4
539,5,10
540,5,1
541,1,3
542,4,3
543,6,6
544,4,2
545,4,3
546,2,4
547,2,2
548,2,5
549,5,0
550,5,5
551,2,1
552,4,5
553,8,1
554,4,5
555,7,2
556,2,0
557,1,3
558,5,1
559,2,4
560,5,2
561,5,1
562,6,2
563,3,4
564,2,2
565,2,1
566,2,2
567,4,3
568,4,1
569,4,4
570,5,1
