n_1,N_1,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,1,0
14,0,2
15,1,3
16,3,0
17,1,0
18,1,3
19,1,1
20,1,1
21,0,1
22,2,2
23,1,0
24,0,1
25,1,0
26,3,1
27,0,4
28,0,0
29,2,1
30,1,1
31,3,0
32,0,1
33,1,0
34,1,2
35,2,5
36,0,1
37,1,0
38,1,4
39,0,3
40,2,2
41,0,1
42,1,0
43,0,1
44,3,1
45,1,2
46,2,1
47,3,1
48,0,1
49,2,2
50,0,0
51,0,1
52,0,2
53,0,1
54,0,1
55,0,2
56,0,0
57,0,1
58,0,0
59,2,2
60,3,2
61,0,3
62,1,0
63,3,2
64,0,2
65,1,1
66,2,2
67,3,2
68,0,0
69,1,0
70,1,1
71,1,0
72,0,1
73,1,0
74,1,1
75,1,0
76,1,0
77,1,3
78,3,1
79,1,3
80,3,0
81,2,1
82,2,1
83,0,1
84,1,1
85,1,0
86,1,1
87,1,1
88,0,2
89,1,0
90,2,3
91,2,0
92,1,2
93,1,1
94,0,2
95,0,2
96,1,4
97,1,6
98,1,2
99,1,1
100,1,3
101,1,0
102,1,1
103,2,3
104,2,1
105,1,0
106,1,0
107,3,2
108,2,1
109,1,1
110,0,3
111,3,4
112,3,2
113,0,3
114,2,2
115,2,3
116,1,1
117,0,2
118,1,3
119,2,2
120,3,1
121,2,1
122,0,0
123,1,2
124,2,2
125,0,2
126,2,0
127,2,1
128,4,4
129,1,4
130,1,3
131,1,0
132,1,2
133,1,2
134,5,2
135,0,2
136,3,2
137,5,3
138,1,1
139,3,1
140,2,1
141,1,1
142,3,1
143,1,1
144,1,3
145,2,3
146,1,2
147,1,3
148,0,1
149,3,2
150,0,5
151,3,2
152,1,4
153,3,1
154,2,3
155,2,3
156,3,2
157,5,0
158,8,3
159,1,5
160,0,7
161,2,3
162,5,0
163,2,4
164,5,4
165,2,1
166,2,3
167,2,2
168,1,3
169,2,3
170,3,2
171,2,0
172,0,0
173,1,1
174,1,0
175,5,2
176,1,0
177,3,1
178,0,3
179,4,2
180,4,1
181,2,2
182,2,2
183,4,1
184,3,0
185,4,1
186,3,1
187,3,3
188,1,1
189,3,3
190,2,1
191,2,3
192,2,4
193,5,3
194,3,2
195,0,0
196,4,2
197,0,1
198,3,1
199,4,2
200,0,1
201,5,1
202,1,1
203,2,2
204,3,1
205,5,3
206,0,2
207,5,2
208,3,3
209,6,3
210,2,4
211,7,2
212,8,4
213,3,5
214,3,3
215,6,3
216,2,0
217,7,7
218,2,4
219,3,6
220,8,8
221,3,4
222,3,6
223,1,6
224,6,2
225,7,6
226,4,2
227,5,4
228,6,3
229,5,2
230,10,6
231,1,3
232,8,6
233,7,4
234,5,9
235,6,6
236,13,5
237,6,1
238,10,3
239,5,2
240,8,5
241,6,3
242,6,5
243,8,8
244,8,7
245,7,6
246,11,5
247,10,3
248,5,5
249,7,6
250,8,3
251,6,4
252,8,5
253,10,5
254,8,9
255,7,8
256,6,8
257,11,6
258,5,1
259,7,4
260,6,9
261,11,4
262,5,2
263,6,4
264,8,6
265,6,3
266,11,5
267,7,7
268,9,4
269,8,3
270,5,7
271,4,9
272,3,8
273,5,6
274,3,4
275,3,2
276,10,5
277,4,7
278,2,7
279,2,4
280,2,10
281,5,1
282,6,5
283,6,7
284,8,5
285,7,6
286,3,4
287,4,4
288,3,2
289,2,3
290,4,7
291,2,7
292,2,2
293,1,6
294,1,2
295,8,7
296,7,3
297,4,3
298,4,7
299,6,3
300,5,5
301,4,7
302,4,10
303,5,7
304,7,3
305,3,10
306,6,4
307,9,6
308,6,6
309,1,2
310,5,5
311,4,7
312,10,4
313,6,6
314,8,2
315,6,3
316,5,2
317,5,8
318,3,1
319,5,7
320,3,6
321,1,4
322,5,4
323,3,2
324,8,8
325,8,6
326,2,4
327,8,3
328,1,3
329,9,4
330,2,6
331,5,3
332,11,6
333,3,2
334,4,2
335,7,3
336,5,6
337,5,6
338,3,5
339,5,4
340,5,3
341,4,3
342,6,1
343,6,3
344,2,3
345,4,2
346,8,8
347,3,5
348,6,3
349,8,2
350,4,2
351,3,3
352,3,3
353,6,4
354,4,4
355,6,5
356,4,4
357,4,9
358,4,3
359,2,8
360,8,1
361,5,8
362,4,4
363,6,6
364,9,2
365,3,4
366,8,1
367,5,4
368,7,5
369,4,3
370,1,5
371,4,6
372,6,4
373,5,3
374,6,5
375,3,3
376,10,6
377,5,6
378,3,6
379,7,3
380,6,8
381,2,4
382,4,5
383,9,4
384,5,5
385,8,8
386,3,4
387,4,6
388,6,4
389,3,7
390,5,9
391,8,4
392,6,5
393,5,2
394,8,5
395,3,4
396,3,0
397,3,3
398,5,3
399,7,6
400,7,5
401,1,1
402,3,6
403,9,4
404,5,6
405,4,5
406,9,4
407,4,2
408,3,1
409,5,5
410,7,4
411,9,6
412,4,2
413,3,2
414,5,6
415,9,5
416,6,2
417,5,5
418,6,3
419,2,1
420,4,3
421,2,5
422,6,7
423,3,4
424,3,5
425,7,5
426,9,1
427,4,4
428,4,2
429,4,3
430,4,1
431,3,3
432,5,1
433,4,5
434,6,3
435,5,8
436,2,7
437,4,6
438,4,4
439,6,3
440,6,3
441,4,3
442,6,6
443,3,8
444,9,4
445,3,6
446,4,5
447,5,2
448,6,1
449,9,7
450,4,5
451,1,5
452,7,4
453,5,5
454,4,2
455,3,1
456,5,3
457,3,1
458,5,4
459,5,3
460,8,3
461,3,1
462,8,4
463,6,6
464,4,5
465,4,1
466,4,6
467,2,5
468,6,0
469,3,5
470,6,4
471,3,3
472,3,6
473,4,3
474,5,7
475,7,3
476,2,2
477,2,6
478,6,3
479,9,2
480,7,1
481,2,1
482,7,0
483,2,4
484,3,2
485,3,1
486,5,4
487,1,3
488,6,2
489,1,8
490,3,6
491,2,4
492,3,2
493,3,4
494,5,3
495,1,1
496,6,1
497,3,3
498,3,2
499,10,1
500,8,2
501,3,4
502,3,4
503,6,2
504,4,0
505,5,2
506,3,3
507,4,5
508,4,3
509,7,4
510,3,3
511,4,2
512,3,1
513,2,2
514,3,1
515,4,4
516,3,1
517,4,2
518,1,3
519,3,4
520,7,4
521,7,2
522,5,2
523,6,3
524,4,1
525,2,3
526,6,5
527,2,0
528,6,1
529,5,7
530,6,2
531,5,3
532,1,3
533,2,3
534,0,3
535,4,0
536,2,5
537,1,3
538,6,1
539,3,2
540,5,4
541,5,1
542,3,2
543,2,4
544,3,3
545,1,0
546,6,3
547,5,4
548,6,1
549,2,5
550,3,1
551,5,2
552,6,3
553,7,3
554,9,1
555,2,4
556,1,2
557,4,4
558,1,5
559,3,3
560,4,0
561,4,0
562,7,2
563,3,1
564,3,1
565,1,3
566,1,2
567,2,4
568,1,1
569,2,0
570,2,1
