n_1,N_1,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,1,0
15,0,0
16,1,0
17,1,0
18,1,0
19,1,0
20,2,0
21,2,0
22,0,0
23,0,0
24,0,0
25,1,0
26,0,0
27,2,0
28,1,0
29,0,0
30,0,0
31,0,0
32,1,0
33,1,0
34,0,0
35,2,0
36,1,0
37,2,0
38,1,0
39,2,0
40,0,0
41,1,0
42,1,0
43,0,0
44,0,0
45,1,0
46,1,0
47,0,0
48,1,0
49,0,0
50,1,0
51,0,0
52,0,0
53,1,0
54,0,0
55,2,0
56,3,0
57,1,0
58,0,0
59,0,0
60,2,0
61,1,0
62,0,0
63,1,0
64,0,0
65,0,0
66,1,0
67,0,0
68,1,0
69,0,0
70,0,0
71,0,0
72,0,0
73,2,0
74,1,0
75,1,0
76,0,0
77,1,0
78,2,0
79,0,0
80,0,0
81,0,0
82,2,0
83,1,0
84,1,0
85,0,0
86,1,0
87,1,0
88,1,0
89,0,0
90,3,0
91,2,0
92,0,0
93,1,0
94,4,0
95,2,0
96,2,0
97,1,0
98,1,0
99,3,0
100,3,0
101,0,0
102,0,0
103,2,0
104,1,0
105,1,0
106,0,0
107,1,0
108,2,0
109,2,0
110,2,0
111,0,0
112,0,0
113,1,0
114,0,0
115,2,0
116,2,0
117,1,0
118,1,0
119,1,0
120,3,0
121,0,0
122,2,0
123,0,0
124,0,0
125,1,0
126,1,0
127,1,0
128,1,0
129,2,0
130,0,0
131,0,0
132,1,0
133,1,0
134,1,0
135,2,0
136,1,0
137,2,0
138,2,0
139,1,0
140,3,0
141,1,0
142,2,0
143,2,0
144,2,0
145,1,0
146,3,0
147,2,0
148,3,0
149,3,0
150,1,0
151,1,0
152,5,0
153,3,0
154,3,0
155,2,0
156,5,0
157,0,0
158,6,0
159,2,0
160,2,0
161,1,0
162,0,0
163,2,0
164,1,0
165,5,0
166,1,0
167,3,0
168,4,0
169,3,0
170,2,0
171,2,0
172,2,0
173,0,0
174,2,0
175,2,0
176,3,0
177,1,0
178,1,0
179,2,0
180,0,0
181,2,0
182,0,0
183,0,0
184,0,0
185,6,0
186,1,0
187,3,0
188,1,0
189,2,0
190,2,0
191,1,0
192,3,0
193,1,0
194,6,0
195,2,0
196,0,0
197,4,0
198,3,0
199,5,0
200,1,0
201,2,0
202,3,0
203,2,0
204,3,0
205,4,0
206,5,0
207,5,0
208,0,0
209,1,0
210,1,0
211,4,0
212,2,0
213,4,0
214,3,0
215,3,0
216,3,0
217,3,0
218,3,0
219,6,0
220,2,0
221,4,0
222,1,0
223,5,0
224,7,0
225,5,0
226,9,0
227,6,0
228,5,0
229,3,0
230,10,0
231,6,0
232,7,0
233,5,0
234,5,0
235,6,0
236,7,0
237,4,0
238,4,0
239,6,0
240,8,0
241,6,0
242,8,0
243,6,0
244,4,0
245,1,0
246,8,0
247,5,0
248,8,0
249,6,0
250,5,0
251,8,0
252,6,0
253,4,0
254,3,0
255,6,0
256,5,0
257,7,0
258,4,0
259,6,0
260,3,0
261,6,0
262,5,0
263,7,0
264,2,0
265,11,0
266,7,0
267,5,0
268,6,0
269,4,0
270,5,0
271,4,0
272,6,0
273,5,0
274,5,0
275,4,0
276,5,0
277,4,0
278,7,0
279,5,0
280,7,0
281,3,0
282,6,0
283,9,0
284,3,0
285,6,0
286,3,0
287,4,0
288,2,0
289,4,0
290,7,0
291,7,0
292,1,0
293,4,0
294,7,0
295,8,0
296,6,0
297,4,0
298,4,0
299,5,0
300,1,0
301,8,0
302,5,0
303,4,0
304,2,0
305,1,0
306,5,0
307,6,0
308,2,0
309,5,0
310,2,0
311,5,0
312,3,0
313,4,0
314,3,0
315,11,0
316,2,0
317,4,0
318,5,0
319,3,0
320,7,0
321,3,0
322,7,0
323,3,0
324,3,0
325,7,0
326,0,0
327,3,0
328,5,0
329,3,0
330,8,0
331,6,0
332,3,0
333,4,0
334,6,0
335,0,0
336,4,0
337,3,0
338,2,0
339,6,0
340,6,0
341,4,0
342,3,0
343,4,0
344,7,0
345,5,0
346,7,0
347,5,0
348,3,0
349,0,0
350,2,0
351,1,0
352,3,0
353,2,0
354,4,0
355,4,0
356,5,0
357,1,0
358,6,0
359,4,0
360,5,0
361,2,0
362,7,0
363,5,0
364,6,0
365,2,0
366,6,0
367,3,0
368,4,0
369,4,0
370,2,0
371,4,0
372,7,0
373,5,0
374,3,0
375,7,0
376,2,0
377,3,0
378,3,0
379,3,0
380,1,0
381,3,0
382,6,0
383,3,0
384,5,0
385,3,0
386,7,0
387,4,0
388,3,0
389,5,0
390,3,0
391,1,0
392,5,0
393,2,0
394,2,0
395,6,0
396,4,0
397,5,0
398,4,0
399,1,0
400,2,0
401,2,0
402,3,0
403,8,0
404,3,0
405,2,0
406,3,0
407,3,0
408,9,0
409,1,0
410,3,0
411,6,0
412,5,0
413,6,0
414,7,0
415,1,0
416,3,0
417,4,0
418,3,0
419,3,0
420,4,0
421,5,0
422,5,0
423,5,0
424,6,0
425,4,0
426,6,0
427,2,0
428,0,0
429,1,0
430,7,0
431,2,0
432,5,0
433,5,0
434,7,0
435,3,0
436,4,0
437,5,0
438,2,0
439,2,0
440,3,0
441,1,0
442,2,0
443,3,0
444,2,0
445,0,0
446,3,0
447,5,0
448,2,0
449,4,0
450,1,0
451,4,0
452,3,0
453,3,0
454,3,0
455,4,0
456,3,0
457,5,0
458,4,0
459,7,0
460,5,0
461,6,0
462,4,0
463,3,0
464,2,0
465,4,0
466,1,0
467,1,0
468,3,0
469,1,0
470,5,0
471,4,0
472,4,0
473,2,0
474,6,0
475,2,0
476,5,0
477,0,0
478,4,0
479,2,0
480,3,0
481,4,0
482,7,0
483,4,0
484,3,0
485,3,0
486,2,0
487,3,0
488,2,0
489,4,0
490,3,0
491,3,0
492,7,0
493,1,0
494,5,0
495,4,0
496,2,0
497,1,0
498,4,0
499,3,0
500,4,0
501,1,0
502,3,0
503,4,0
504,3,0
505,4,0
506,2,0
507,1,0
508,3,0
509,5,0
510,8,0
511,1,0
512,1,0
513,1,0
514,3,0
515,1,0
516,4,0
517,2,0
518,7,0
519,5,0
520,1,0
521,2,0
522,4,0
523,5,0
524,5,0
525,2,0
526,7,0
527,3,0
528,2,0
529,3,0
530,3,0
531,2,0
532,4,0
533,2,0
534,3,0
535,1,0
536,6,0
537,2,0
538,2,0
539,2,0
540,2,0
541,3,0
542,3,0
543,0,0
544,0,0
545,2,0
546,3,0
547,2,0
548,5,0
549,4,0
550,4,0
551,4,0
552,1,0
553,1,0
554,4,0
555,2,0
556,0,0
557,2,0
558,4,0
559,7,0
560,2,0
561,1,0
562,4,0
563,7,0
564,2,0
565,2,0
566,2,0
567,1,0
568,5,0
569,3,0
570,2,0
