n_1,N_1,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,1
16,1,2
17,0,0
18,0,0
19,1,0
20,0,0
21,0,1
22,2,2
23,2,1
24,0,0
25,0,1
26,0,0
27,1,2
28,0,1
29,1,0
30,2,1
31,0,0
32,1,1
33,1,2
34,0,0
35,1,0
36,1,1
37,0,1
38,0,1
39,1,1
40,1,0
41,0,0
42,1,0
43,0,2
44,1,0
45,0,1
46,0,1
47,0,0
48,1,0
49,0,1
50,1,1
51,2,0
52,2,1
53,1,1
54,0,0
55,1,1
56,1,0
57,1,0
58,0,0
59,1,0
60,0,0
61,0,0
62,1,0
63,0,0
64,0,0
65,1,0
66,2,0
67,4,0
68,1,0
69,2,1
70,2,1
71,1,0
72,1,0
73,0,1
74,1,0
75,3,2
76,0,1
77,3,0
78,0,1
79,0,0
80,0,2
81,1,0
82,0,2
83,2,0
84,1,1
85,0,4
86,1,0
87,1,0
88,0,2
89,0,0
90,1,0
91,2,0
92,1,1
93,0,1
94,0,2
95,1,0
96,0,2
97,2,1
98,0,3
99,0,1
100,1,1
101,1,1
102,0,1
103,0,1
104,2,1
105,2,1
106,0,1
107,0,2
108,1,1
109,1,1
110,1,1
111,1,0
112,1,2
113,1,2
114,0,1
115,3,0
116,0,0
117,1,1
118,1,0
119,3,1
120,1,3
121,0,0
122,3,2
123,1,1
124,0,3
125,0,0
126,1,1
127,1,0
128,0,4
129,3,1
130,2,0
131,0,2
132,0,2
133,2,1
134,2,1
135,1,0
136,4,1
137,1,1
138,1,1
139,2,1
140,0,0
141,0,2
142,1,3
143,0,0
144,3,1
145,4,4
146,2,2
147,1,3
148,2,0
149,2,2
150,5,0
151,3,2
152,2,0
153,4,0
154,1,2
155,3,6
156,1,2
157,3,3
158,1,0
159,2,1
160,1,1
161,6,3
162,4,1
163,1,4
164,2,4
165,0,1
166,1,2
167,0,5
168,5,3
169,2,1
170,1,3
171,1,1
172,0,1
173,1,2
174,3,2
175,1,2
176,1,0
177,1,3
178,1,5
179,1,1
180,0,2
181,2,2
182,0,2
183,0,4
184,1,4
185,0,2
186,2,2
187,2,2
188,3,0
189,1,2
190,0,2
191,1,3
192,1,2
193,1,6
194,3,3
195,0,2
196,0,1
197,2,2
198,2,0
199,2,1
200,1,3
201,3,0
202,0,3
203,0,0
204,3,1
205,3,2
206,0,2
207,4,4
208,3,0
209,4,1
210,7,3
211,2,3
212,3,2
213,2,1
214,2,4
215,2,3
216,4,2
217,6,5
218,5,3
219,4,3
220,8,2
221,2,1
222,7,3
223,3,4
224,3,3
225,5,2
226,3,4
227,5,3
228,3,1
229,4,1
230,5,4
231,5,7
232,4,7
233,8,6
234,4,0
235,3,5
236,6,4
237,3,1
238,6,4
239,4,7
240,3,7
241,4,3
242,4,9
243,8,3
244,4,5
245,11,3
246,7,2
247,0,3
248,4,5
249,4,2
250,4,2
251,4,3
252,8,11
253,1,4
254,2,11
255,5,8
256,6,3
257,7,4
258,6,5
259,8,6
260,2,4
261,9,4
262,4,6
263,3,2
264,9,7
265,5,4
266,5,4
267,7,4
268,3,4
269,8,5
270,7,2
271,3,3
272,2,3
273,4,8
274,3,2
275,3,3
276,4,3
277,9,3
278,3,5
279,4,6
280,2,3
281,3,3
282,2,3
283,7,5
284,5,10
285,4,5
286,3,2
287,3,5
288,0,5
289,9,10
290,1,2
291,5,2
292,5,2
293,10,8
294,4,3
295,5,4
296,4,4
297,3,8
298,4,2
299,7,4
300,6,5
301,5,1
302,2,2
303,2,4
304,2,4
305,2,5
306,1,4
307,6,0
308,2,9
309,7,3
310,5,6
311,3,6
312,2,8
313,3,0
314,3,3
315,6,4
316,4,4
317,3,5
318,3,3
319,2,1
320,8,2
321,5,4
322,3,1
323,7,2
324,6,3
325,0,1
326,3,4
327,5,2
328,2,4
329,2,3
330,2,1
331,7,3
332,5,4
333,5,3
334,5,5
335,4,6
336,13,4
337,6,4
338,3,1
339,4,5
340,5,2
341,2,5
342,3,3
343,3,3
344,2,4
345,5,5
346,4,2
347,4,4
348,3,3
349,3,4
350,2,1
351,4,2
352,4,3
353,4,6
354,3,7
355,4,6
356,6,2
357,4,3
358,3,4
359,2,6
360,2,1
361,5,0
362,3,2
363,5,2
364,2,3
365,7,5
366,6,8
367,3,4
368,2,3
369,2,0
370,6,6
371,7,8
372,4,2
373,3,5
374,4,4
375,3,8
376,3,5
377,2,7
378,4,3
379,5,1
380,5,11
381,8,2
382,1,4
383,3,5
384,7,6
385,5,5
386,1,6
387,6,3
388,4,0
389,5,2
390,4,2
391,3,2
392,1,1
393,0,2
394,3,7
395,6,4
396,6,6
397,2,2
398,5,4
399,6,2
400,1,3
401,3,3
402,0,3
403,2,2
404,2,3
405,1,1
406,10,6
407,4,4
408,7,5
409,5,3
410,3,2
411,4,1
412,4,3
413,10,5
414,1,4
415,3,3
416,3,4
417,1,2
418,3,2
419,3,2
420,2,3
421,2,2
422,4,2
423,7,5
424,1,7
425,4,3
426,5,6
427,3,2
428,6,3
429,4,1
430,7,2
431,4,7
432,3,5
433,7,7
434,0,1
435,3,4
436,6,3
437,0,6
438,5,2
439,2,4
440,6,4
441,6,3
442,3,2
443,8,2
444,2,3
445,4,6
446,1,6
447,3,7
448,8,5
449,3,2
450,1,3
451,2,3
452,3,3
453,6,5
454,3,2
455,5,3
456,1,4
457,4,6
458,3,2
459,3,2
460,6,4
461,5,4
462,3,2
463,4,2
464,5,3
465,3,5
466,4,4
467,7,4
468,4,3
469,2,5
470,6,3
471,3,5
472,5,5
473,4,5
474,7,3
475,3,5
476,2,3
477,2,5
478,4,4
479,3,4
480,3,9
481,3,3
482,3,3
483,9,3
484,2,5
485,2,2
486,5,4
487,3,3
488,4,3
489,5,4
490,5,2
491,4,0
492,7,4
493,4,5
494,2,4
495,1,1
496,5,7
497,4,5
498,2,0
499,0,1
500,4,2
501,5,5
502,1,3
503,2,1
504,1,3
505,2,6
506,2,5
507,6,1
508,3,4
509,3,0
510,2,2
511,7,3
512,7,5
513,2,4
514,0,2
515,4,5
516,2,5
517,4,3
518,5,3
519,1,1
520,4,1
521,3,2
522,2,3
523,3,1
524,5,2
525,5,6
526,6,3
527,4,3
528,4,3
529,1,2
530,3,3
531,0,5
532,1,2
533,3,2
534,3,4
535,4,1
536,2,2
537,2,2
538,1,3
539,0,2
540,3,1
541,2,1
542,6,3
543,1,3
544,3,4
545,5,6
546,2,2
547,1,3
548,3,4
549,4,1
550,3,4
551,2,8
552,3,4
553,5,6
554,2,4
555,6,3
556,4,6
557,2,5
558,4,2
559,9,1
560,6,3
561,3,2
562,4,1
563,4,0
564,6,3
565,1,5
566,6,3
567,3,1
568,3,1
569,2,2
570,3,4
