n_1,N_1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,5
16,1
17,3
18,0
19,0
20,2
21,2
22,2
23,1
24,3
25,0
26,4
27,1
28,2
29,0
30,0
31,2
32,0
33,5
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,2
48,1
49,2
50,0
51,2
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,2
63,2
64,2
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,3
82,2
83,0
84,0
85,0
86,2
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,4
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,2
105,2
106,2
107,1
108,2
109,1
110,3
111,1
112,1
113,2
114,1
115,2
116,0
117,1
118,2
119,1
120,2
121,1
122,1
123,1
124,0
125,2
126,4
127,2
128,2
129,0
130,1
131,2
132,1
133,3
134,0
135,1
136,1
137,1
138,2
139,2
140,7
141,1
142,0
143,2
144,0
145,1
146,1
147,2
148,2
149,1
150,1
151,0
152,3
153,5
154,3
155,0
156,5
157,1
158,4
159,1
160,2
161,3
162,1
163,1
164,2
165,4
166,1
167,2
168,2
169,2
170,1
171,2
172,0
173,5
174,2
175,2
176,4
177,3
178,1
179,1
180,0
181,2
182,0
183,2
184,3
185,1
186,1
187,4
188,2
189,1
190,2
191,2
192,4
193,2
194,2
195,1
196,1
197,4
198,1
199,8
200,5
201,3
202,1
203,1
204,4
205,2
206,1
207,4
208,3
209,3
210,3
211,3
212,3
213,2
214,1
215,2
216,4
217,3
218,1
219,3
220,4
221,3
222,6
223,7
224,3
225,1
226,6
227,1
228,5
229,9
230,5
231,2
232,4
233,5
234,8
235,3
236,3
237,7
238,7
239,6
240,6
241,4
242,6
243,6
244,11
245,5
246,6
247,2
248,5
249,8
250,1
251,6
252,6
253,4
254,7
255,7
256,4
257,8
258,3
259,1
260,8
261,4
262,4
263,8
264,4
265,10
266,5
267,4
268,1
269,3
270,3
271,2
272,6
273,7
274,6
275,6
276,3
277,5
278,4
279,4
280,5
281,5
282,4
283,5
284,3
285,6
286,2
287,5
288,2
289,2
290,3
291,5
292,5
293,2
294,9
295,4
296,2
297,1
298,5
299,4
300,4
301,4
302,3
303,4
304,2
305,4
306,6
307,4
308,7
309,5
310,1
311,4
312,2
313,5
314,3
315,2
316,4
317,3
318,7
319,6
320,5
321,3
322,6
323,3
324,6
325,7
326,5
327,4
328,5
329,6
330,4
331,2
332,3
333,9
334,1
335,7
336,6
337,2
338,5
339,5
340,1
341,3
342,5
343,4
344,4
345,2
346,2
347,5
348,0
349,6
350,6
351,4
352,4
353,7
354,6
355,2
356,4
357,4
358,4
359,0
360,1
361,4
362,3
363,6
364,4
365,2
366,4
367,3
368,5
369,10
370,1
371,4
372,4
373,2
374,7
375,2
376,8
377,5
378,8
379,0
380,3
381,2
382,3
383,2
384,2
385,3
386,3
387,7
388,6
389,5
390,5
391,6
392,4
393,5
394,5
395,1
396,4
397,5
398,4
399,5
400,4
401,4
402,4
403,2
404,0
405,1
406,3
407,5
408,5
409,4
410,5
411,6
412,2
413,3
414,1
415,4
416,3
417,3
418,4
419,2
420,1
421,4
422,7
423,2
424,3
425,1
426,4
427,1
428,1
429,1
430,3
431,3
432,1
433,4
434,2
435,3
436,3
437,2
438,3
439,5
440,2
441,3
442,2
443,7
444,5
445,8
446,1
447,3
448,2
449,4
450,1
451,3
452,6
453,8
454,5
455,0
456,1
457,4
458,1
459,3
460,7
461,3
462,2
463,4
464,6
465,3
466,2
467,1
468,1
469,6
470,4
471,3
472,2
473,1
474,1
475,5
476,3
477,4
478,6
479,4
480,6
481,2
482,1
483,3
484,1
485,1
486,1
487,3
488,1
489,5
490,3
491,4
492,1
493,3
494,2
495,3
496,3
497,2
498,6
499,2
500,3
501,4
502,4
503,3
504,0
505,0
506,4
507,3
508,5
509,1
510,1
511,4
512,4
513,4
514,4
515,0
516,4
517,2
518,4
519,2
520,2
521,0
522,0
523,3
524,2
525,4
526,1
527,3
528,1
529,1
530,2
531,3
