n_1,straight,N_1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,1
13,0,1
14,0,0
15,0,0
16,0,2
17,2,1
18,1,0
19,1,2
20,1,0
21,2,0
22,2,2
23,2,1
24,1,2
25,1,1
26,1,1
27,1,3
28,0,0
29,0,0
30,0,1
31,1,0
32,2,2
33,4,0
34,0,1
35,1,0
36,0,1
37,2,1
38,0,2
39,0,1
40,0,0
41,0,0
42,1,1
43,0,1
44,0,0
45,0,0
46,0,1
47,1,0
48,0,0
49,1,2
50,0,2
51,2,0
52,0,1
53,1,1
54,1,1
55,0,0
56,0,1
57,0,1
58,0,1
59,3,0
60,1,0
61,0,0
62,0,2
63,1,2
64,1,2
65,1,2
66,0,0
67,1,1
68,1,0
69,1,0
70,0,2
71,0,0
72,2,1
73,1,1
74,0,1
75,1,3
76,1,0
77,1,1
78,0,0
79,1,1
80,0,1
81,0,1
82,0,2
83,0,0
84,0,1
85,1,5
86,0,1
87,2,0
88,1,3
89,0,0
90,0,2
91,0,4
92,1,2
93,0,1
94,2,2
95,1,1
96,0,1
97,1,1
98,0,0
99,1,3
100,2,1
101,4,1
102,0,0
103,1,3
104,0,2
105,2,2
106,0,2
107,4,0
108,0,5
109,3,0
110,2,0
111,1,4
112,1,0
113,3,1
114,0,1
115,1,5
116,2,2
117,3,3
118,0,1
119,3,1
120,0,3
121,0,1
122,1,1
123,1,1
124,0,3
125,1,2
126,1,1
127,2,2
128,0,3
129,3,1
130,1,0
131,3,2
132,3,2
133,2,1
134,0,1
135,0,1
136,2,0
137,1,1
138,4,2
139,4,3
140,2,1
141,2,0
142,1,2
143,3,0
144,0,0
145,2,1
146,4,1
147,0,1
148,1,1
149,0,3
150,2,1
151,4,2
152,2,0
153,2,5
154,1,0
155,2,2
156,6,1
157,2,2
158,4,2
159,2,2
160,3,0
161,1,1
162,1,4
163,4,3
164,1,0
165,0,1
166,0,0
167,2,1
168,2,2
169,3,2
170,1,1
171,3,1
172,1,3
173,4,4
174,2,4
175,0,3
176,4,2
177,1,2
178,2,3
179,0,0
180,0,4
181,2,1
182,1,2
183,1,0
184,3,0
185,0,2
186,1,1
187,2,0
188,2,4
189,3,1
190,2,2
191,3,1
192,2,1
193,2,2
194,3,1
195,3,1
196,2,2
197,0,2
198,1,3
199,1,3
200,0,1
201,3,3
202,4,4
203,1,3
204,3,1
205,4,1
206,2,1
207,3,3
208,4,4
209,3,3
210,4,1
211,4,3
212,2,1
213,3,4
214,4,3
215,4,4
216,1,1
217,1,7
218,2,3
219,1,0
220,5,2
221,1,4
222,2,4
223,6,3
224,2,4
225,3,5
226,6,2
227,3,2
228,4,3
229,2,3
230,3,3
231,4,7
232,4,4
233,6,6
234,3,6
235,4,5
236,1,5
237,1,3
238,5,3
239,2,3
240,6,5
241,4,3
242,3,7
243,5,10
244,3,9
245,3,6
246,3,4
247,1,8
248,7,3
249,2,6
250,5,6
251,6,7
252,5,6
253,4,6
254,4,8
255,9,6
256,5,4
257,7,3
258,2,5
259,6,6
260,3,5
261,8,2
262,5,5
263,5,8
264,8,6
265,4,5
266,3,11
267,5,3
268,3,6
269,6,9
270,4,8
271,6,9
272,2,3
273,5,3
274,4,9
275,5,5
276,7,4
277,5,5
278,5,6
279,4,5
280,2,6
281,6,1
282,4,6
283,4,5
284,6,2
285,5,7
286,4,4
287,3,2
288,6,2
289,6,5
290,2,5
291,10,7
292,5,7
293,4,1
294,3,4
295,3,7
296,5,12
297,7,4
298,3,3
299,5,3
300,8,1
301,4,5
302,3,2
303,6,5
304,10,5
305,7,2
306,2,2
307,3,2
308,6,1
309,3,4
310,3,8
311,5,5
312,2,8
313,1,3
314,3,3
315,1,4
316,4,4
317,6,5
318,3,5
319,3,3
320,4,4
321,5,8
322,4,3
323,6,5
324,6,4
325,4,10
326,3,2
327,1,1
328,4,2
329,6,3
330,5,6
331,3,9
332,4,6
333,1,3
334,2,4
335,3,1
336,8,2
337,6,5
338,4,4
339,3,1
340,2,4
341,2,3
342,6,2
343,3,2
344,3,6
345,5,6
346,1,1
347,5,3
348,3,5
349,9,2
350,3,5
351,4,1
352,8,5
353,2,1
354,6,3
355,7,6
356,7,3
357,9,5
358,3,6
359,6,5
360,5,3
361,3,3
362,7,4
363,1,1
364,3,6
365,7,4
366,4,5
367,2,2
368,4,5
369,2,6
370,6,4
371,3,5
372,6,8
373,4,1
374,2,4
375,12,2
376,4,3
377,4,5
378,5,1
379,5,4
380,4,4
381,3,10
382,7,3
383,5,2
384,5,2
385,12,6
386,4,2
387,5,5
388,2,7
389,3,4
390,2,1
391,3,4
392,5,5
393,0,5
394,3,2
395,2,2
396,6,5
397,2,7
398,5,4
399,3,6
400,0,5
401,1,7
402,3,2
403,6,4
404,4,2
405,2,3
406,6,3
407,3,1
408,2,8
409,1,4
410,2,5
411,1,4
412,2,2
413,2,4
414,5,4
415,3,2
416,8,6
417,7,3
418,2,4
419,4,4
420,8,3
421,3,3
422,5,1
423,8,7
424,2,10
425,4,2
426,3,6
427,3,1
428,4,6
429,5,4
430,3,1
431,6,5
432,5,3
433,3,3
434,4,4
435,6,1
436,2,4
437,6,8
438,4,5
439,5,4
440,3,2
441,1,7
442,2,4
443,3,6
444,3,3
445,4,1
446,3,4
447,6,5
448,1,6
449,2,7
450,2,7
451,3,2
452,1,6
453,4,3
454,3,3
455,3,5
456,4,3
457,4,2
458,2,5
459,4,6
460,2,3
461,2,3
462,7,3
463,3,0
464,2,9
465,1,6
466,5,5
467,5,2
468,3,4
469,2,2
470,5,5
471,1,4
472,0,10
473,3,4
474,3,4
475,0,3
476,3,3
477,2,5
478,1,2
479,4,2
480,3,3
481,4,0
482,2,5
483,1,3
484,1,2
485,6,2
486,5,3
487,2,2
488,2,1
489,1,6
490,4,4
491,3,3
492,4,1
493,5,1
494,3,3
495,1,5
496,2,3
497,5,3
498,8,7
499,12,5
500,3,2
501,3,2
502,3,6
503,6,4
504,1,0
505,6,8
506,4,6
507,4,1
508,6,3
509,3,2
510,1,2
511,0,3
512,3,5
513,6,2
514,2,2
515,5,1
516,3,1
517,1,7
518,5,2
519,2,4
520,0,3
521,2,5
522,9,2
523,5,3
524,2,5
525,5,5
526,0,1
527,2,6
528,1,4
529,6,5
530,1,4
531,2,1
532,3,2
533,2,4
534,6,4
535,5,3
536,1,1
537,5,6
538,6,1
539,3,4
540,3,3
541,2,4
542,6,0
543,5,4
544,3,4
545,3,2
546,3,3
547,2,6
548,8,0
549,2,2
550,1,3
551,7,2
552,3,5
553,3,1
554,3,4
555,5,1
556,2,2
557,3,4
558,3,3
559,3,5
560,2,2
561,1,3
562,3,5
563,5,0
564,4,2
565,4,2
566,0,5
567,6,4
568,3,3
569,4,2
570,1,5
