n_1,Scatter,Background,Difference
0,0,0,0
1,0,0,0
2,4,3,1
3,9,10,-1
4,9,8,1
5,7,9,-2
6,12,7,5
7,18,9,9
8,7,4,3
9,11,10,1
10,12,8,4
11,8,6,2
12,9,11,-2
13,12,11,1
14,19,9,10
15,8,12,-4
16,7,5,2
17,11,11,0
18,13,8,5
19,17,12,5
20,8,15,-7
21,17,5,12
22,11,6,5
23,13,8,5
24,23,8,15
25,18,18,0
26,16,15,1
27,14,13,1
28,20,18,2
29,26,9,17
30,14,16,-2
31,20,11,9
32,17,14,3
33,21,18,3
34,17,16,1
35,16,21,-5
36,22,15,7
37,25,14,11
38,18,12,6
39,17,22,-5
40,12,15,-3
41,21,16,5
42,14,15,-1
43,28,21,7
44,16,26,-10
45,26,15,11
46,20,18,2
47,19,18,1
48,30,16,14
49,24,20,4
50,26,19,7
51,23,24,-1
52,42,30,12
53,42,19,23
54,30,29,1
55,42,40,2
56,46,33,13
57,50,52,-2
58,42,41,1
59,49,51,-2
60,45,40,5
61,45,51,-6
62,61,47,14
63,51,47,4
64,60,41,19
65,61,44,17
66,46,37,9
67,46,46,0
68,48,31,17
69,50,49,1
70,39,38,1
71,42,41,1
72,43,43,0
73,43,39,4
74,34,31,3
75,40,37,3
76,43,29,14
77,41,39,2
78,37,35,2
79,39,34,5
80,50,39,11
81,55,34,21
82,54,34,20
83,48,33,15
84,38,33,5
85,41,44,-3
86,46,42,4
87,33,38,-5
88,49,38,11
89,40,35,5
90,46,38,8
91,36,41,-5
92,50,32,18
93,39,39,0
94,45,39,6
95,39,26,13
96,51,47,4
97,32,39,-7
98,40,35,5
99,46,32,14
100,45,37,8
101,35,38,-3
102,35,30,5
103,46,37,9
104,57,28,29
105,45,44,1
106,34,35,-1
107,40,40,0
108,45,38,7
109,30,29,1
110,43,35,8
111,32,30,2
112,46,32,14
113,31,34,-3
114,38,35,3
115,34,33,1
116,45,34,11
117,46,29,17
118,30,26,4
119,39,38,1
120,42,32,10
121,29,36,-7
122,39,34,5
123,37,29,8
124,35,28,7
125,38,26,12
126,46,28,18
127,40,22,18
128,20,29,-9
129,24,30,-6
130,28,30,-2
131,34,36,-2
132,35,28,7
133,33,26,7
134,33,28,5
135,31,22,9
136,29,25,4
137,39,27,12
138,25,29,-4
139,26,20,6
140,33,24,9
141,41,34,7
142,32,28,4
143,22,26,-4
144,34,21,13
145,38,26,12
146,32,33,-1
147,33,31,2
148,37,22,15
149,42,25,17
150,33,24,9
151,29,18,11
152,32,33,-1
153,33,28,5
154,24,25,-1
155,30,19,11
156,22,27,-5
157,28,23,5
158,28,21,7
159,27,19,8
160,37,25,12
161,28,22,6
162,32,26,6
163,18,31,-13
164,21,27,-6
165,27,21,6
166,25,31,-6
167,28,23,5
168,27,21,6
169,19,26,-7
170,21,24,-3
171,19,27,-8
172,25,23,2
173,18,20,-2
174,24,26,-2
175,27,18,9
176,23,23,0
177,23,31,-8
178,19,16,3
179,35,20,15
180,22,15,7
181,30,16,14
182,23,24,-1
183,27,15,12
184,19,14,5
185,17,27,-10
186,17,15,2
187,18,17,1
188,21,25,-4
189,25,12,13
190,21,15,6
191,26,16,10
192,21,18,3
193,24,15,9
194,14,18,-4
195,17,24,-7
196,23,13,10
197,11,15,-4
198,24,17,7
199,23,8,15
200,18,9,9
201,17,15,2
202,12,11,1
203,13,15,-2
204,19,13,6
205,18,18,0
206,19,7,12
207,22,11,11
208,16,14,2
209,13,9,4
210,18,14,4
211,17,12,5
212,20,11,9
213,15,12,3
214,14,18,-4
215,18,15,3
216,18,11,7
217,13,9,4
218,17,15,2
219,22,13,9
220,9,5,4
221,16,10,6
222,15,13,2
223,15,19,-4
224,21,14,7
225,18,14,4
226,15,9,6
