n_1,Co_57,Background
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,3
10,0,3
11,7,9
12,8,7
13,5,7
14,6,5
15,8,5
16,6,9
17,8,3
18,6,10
19,6,3
20,9,7
21,4,8
22,16,9
23,2,5
24,4,6
25,4,2
26,2,4
27,4,3
28,3,5
29,4,4
30,4,5
31,5,3
32,4,8
33,3,5
34,10,2
35,6,5
36,3,6
37,5,7
38,7,2
39,3,5
40,4,9
41,11,1
42,3,3
43,4,6
44,6,10
45,10,3
46,6,4
47,7,5
48,2,9
49,6,4
50,7,3
51,4,8
52,4,3
53,8,9
54,12,7
55,4,4
56,6,6
57,4,7
58,9,4
59,4,7
60,11,7
61,7,8
62,3,7
63,4,5
64,3,6
65,9,8
66,4,6
67,6,6
68,10,8
69,6,3
70,9,7
71,4,7
72,9,10
73,6,11
74,9,8
75,6,13
76,8,11
77,8,10
78,10,16
79,11,14
80,12,20
81,21,13
82,11,12
83,13,16
84,15,17
85,21,20
86,15,20
87,17,25
88,20,26
89,22,19
90,24,19
91,28,30
92,16,27
93,17,22
94,18,30
95,12,24
96,20,28
97,27,23
98,26,20
99,28,25
100,24,26
101,18,20
102,25,22
103,24,36
104,21,27
105,25,27
106,12,23
107,14,34
108,27,20
109,16,21
110,21,19
111,16,26
112,12,17
113,19,14
114,18,25
115,19,19
116,17,34
117,14,20
118,13,19
119,22,15
120,17,25
121,27,24
122,18,27
123,18,21
124,26,19
125,26,20
126,21,21
127,15,32
128,18,14
129,12,15
130,15,20
131,19,22
132,18,13
133,17,30
134,18,17
135,21,23
136,30,16
137,29,12
138,24,18
139,25,24
140,29,16
141,27,23
142,22,14
143,26,21
144,18,18
145,19,17
146,29,28
147,21,25
148,18,19
149,21,29
150,26,25
151,27,24
152,16,14
153,17,19
154,24,16
155,21,24
156,25,20
157,26,13
158,26,20
159,26,15
160,15,13
161,24,16
162,19,19
163,14,20
164,10,26
165,24,22
166,30,28
167,21,22
168,18,16
169,23,27
170,14,20
171,16,20
172,11,20
173,19,16
174,14,13
175,10,18
176,20,27
177,19,22
178,11,22
179,11,14
180,22,25
181,15,18
182,23,23
183,19,21
184,19,16
185,14,18
186,15,17
187,23,18
188,15,17
189,20,20
190,12,17
191,13,13
192,11,17
193,17,13
194,20,16
195,15,16
196,12,13
197,17,20
198,8,18
199,15,20
200,13,13
201,13,14
202,12,22
203,13,13
204,15,20
205,10,16
206,14,16
207,17,19
208,7,10
209,12,12
210,12,17
211,23,17
212,14,12
213,18,13
214,10,15
215,14,12
216,15,14
217,18,16
218,10,13
219,12,14
220,20,16
221,10,19
222,13,12
223,16,8
224,9,14
225,11,11
226,7,14
227,18,16
228,12,14
229,14,19
230,18,11
231,11,12
232,8,13
233,13,15
234,10,18
235,6,11
236,10,6
237,12,15
238,15,15
239,13,10
240,13,12
241,17,11
242,10,15
243,10,10
244,11,7
245,14,6
246,10,13
247,6,11
248,12,8
249,14,9
250,8,11
251,7,6
252,12,11
253,13,18
254,12,13
255,9,12
256,14,11
257,11,9
258,11,9
259,7,11
260,14,8
261,7,10
262,9,9
263,11,5
264,7,5
265,16,10
266,9,9
267,6,9
268,15,8
269,5,7
270,10,7
271,18,12
272,7,9
273,11,11
274,5,10
275,8,11
276,6,7
277,7,13
278,11,5
279,5,5
280,4,9
281,9,6
282,16,6
283,6,9
284,7,5
285,10,9
286,9,12
287,7,10
288,4,10
289,11,13
290,4,10
291,7,6
292,13,14
293,3,11
294,5,6
295,11,6
296,6,5
297,8,8
298,5,12
299,8,14
300,8,7
301,5,10
302,11,9
303,6,5
304,7,6
305,3,4
306,8,3
307,6,10
308,8,4
309,6,7
310,10,6
311,7,6
312,8,6
313,6,7
314,10,10
315,6,11
316,5,10
317,6,6
318,6,5
319,4,6
320,9,9
321,8,6
322,7,9
323,3,6
324,3,3
325,4,13
326,9,4
327,3,7
328,6,1
329,7,5
330,5,6
331,6,7
332,6,7
333,3,5
334,3,4
335,7,8
336,6,4
337,9,5
338,4,7
339,8,6
340,8,4
341,14,8
342,6,8
343,5,3
344,6,5
345,6,10
346,4,2
347,7,7
348,4,5
349,4,7
350,6,7
351,4,6
352,6,8
353,7,6
354,6,4
355,3,1
356,8,3
357,4,8
358,4,8
359,4,4
360,5,4
361,3,9
362,3,5
363,4,8
364,3,5
365,3,4
366,7,6
367,5,9
368,4,3
369,3,6
370,6,6
371,5,5
372,2,3
373,6,5
374,5,3
375,6,6
376,7,1
377,4,3
378,5,9
379,6,6
380,3,3
381,7,3
382,2,6
383,7,7
384,4,4
385,7,8
386,3,1
387,6,9
388,3,10
389,7,3
390,1,5
391,4,2
392,5,4
393,4,4
394,3,6
395,2,4
396,5,4
397,2,4
398,4,3
399,6,5
400,5,6
401,4,0
402,6,3
403,2,4
404,5,2
405,9,6
406,3,2
407,5,7
408,5,6
409,5,4
410,6,2
411,5,6
412,1,4
413,5,5
414,4,6
415,6,2
416,5,5
417,4,4
418,4,2
419,3,4
420,1,2
421,3,4
422,3,5
423,3,7
424,5,5
425,3,4
426,6,6
427,7,2
428,3,5
429,6,5
430,5,3
431,4,6
432,0,10
433,3,0
434,5,1
435,2,4
436,1,7
437,3,7
438,5,2
439,2,3
440,2,1
441,4,2
442,2,4
443,3,2
444,6,1
445,1,3
446,4,2
447,3,5
448,3,3
449,6,5
450,2,2
451,1,2
452,4,3
453,2,2
454,3,4
455,4,7
456,3,4
457,4,5
458,4,3
459,4,5
460,2,5
461,3,1
462,1,1
463,3,3
464,2,5
465,2,5
466,2,4
467,3,6
468,4,5
469,2,5
470,4,2
471,1,1
472,3,1
473,0,6
474,1,1
475,4,3
476,1,4
477,5,3
478,3,2
479,2,3
480,5,4
481,2,3
482,7,2
483,3,2
484,3,4
485,3,2
486,3,2
487,2,5
488,1,4
489,0,3
490,4,2
491,2,3
492,1,2
493,4,5
494,4,4
495,4,4
496,2,0
497,4,0
498,4,4
499,4,2
500,6,3
501,1,4
502,5,2
503,1,3
504,0,3
505,4,3
506,4,2
507,6,2
508,4,3
509,4,7
510,2,2
511,2,3
512,0,2
513,3,4
514,3,2
515,3,2
516,1,3
517,0,4
518,3,4
519,4,3
520,5,0
521,1,3
522,2,2
523,0,2
524,2,2
525,2,3
526,6,3
527,2,2
528,3,1
529,2,3
530,1,1
531,2,3
532,2,2
533,2,6
534,3,1
535,3,4
536,1,5
537,4,4
538,3,2
539,4,1
540,2,3
541,5,1
542,2,4
543,1,2
544,1,6
545,1,1
546,1,3
547,5,4
548,1,3
549,0,2
550,4,2
551,3,4
552,4,1
553,5,0
554,6,2
555,3,1
556,2,2
557,3,0
558,3,2
559,3,4
560,1,3
561,4,4
562,0,3
563,0,3
564,2,3
565,4,1
566,2,3
567,3,3
568,2,3
569,2,1
570,1,2
