n_1,N_1,N_2,N_3,N_4,N_5,N_6
0,0,0,0,0,0,0
1,1,0,0,0,0,0
2,0,0,0,0,0,0
3,2,0,0,0,0,0
4,4,0,0,0,0,0
5,8,0,0,0,0,0
6,9,0,0,0,0,0
7,16,0,2,0,0,0
8,27,0,1,1,1,2
9,25,0,7,12,4,6
10,36,1,10,33,6,7
11,41,0,14,29,8,12
12,47,0,9,27,10,9
13,49,0,5,29,8,15
14,48,0,5,26,10,13
15,59,0,10,34,12,12
16,52,0,9,28,13,11
17,64,0,9,20,8,8
18,55,0,11,22,11,11
19,54,0,13,10,13,11
20,55,0,9,11,11,12
21,64,1,12,15,11,10
22,58,0,18,12,8,10
23,70,1,9,15,5,7
24,73,0,10,10,9,9
25,64,0,5,6,6,6
26,55,0,11,6,7,9
27,59,0,20,9,14,13
28,49,1,13,9,9,4
29,51,2,13,5,8,8
30,65,0,15,9,8,9
31,62,0,12,4,10,14
32,63,0,17,5,13,9
33,54,0,11,4,18,12
34,48,1,16,3,9,6
35,50,0,12,8,9,8
36,67,1,9,6,3,9
37,49,1,8,7,4,16
38,69,0,14,6,13,14
39,67,0,7,6,11,6
40,60,0,14,3,11,10
41,58,0,12,5,10,12
42,61,1,14,10,8,9
43,73,1,6,6,10,11
44,64,0,8,5,13,6
45,59,1,7,4,19,16
46,41,1,8,9,6,18
47,49,0,13,3,8,11
48,56,1,6,5,15,9
49,53,0,11,6,13,17
50,54,0,13,4,15,11
51,66,0,6,7,6,14
52,70,0,6,7,19,13
53,66,0,11,3,11,15
54,66,0,7,11,11,16
55,77,0,10,2,16,16
56,57,2,12,5,9,11
57,71,0,6,5,11,15
58,63,1,13,11,14,11
59,76,0,11,5,15,9
60,67,0,15,7,19,14
61,90,1,13,5,12,11
62,76,0,15,4,20,14
63,64,3,15,10,16,13
64,60,1,15,10,14,21
65,60,1,17,9,12,7
66,86,1,19,7,13,11
67,76,3,29,11,16,12
68,85,0,22,7,11,14
69,88,0,26,11,12,9
70,80,0,31,11,11,15
71,54,2,42,8,11,16
72,82,0,34,12,9,12
73,74,0,42,13,14,20
74,76,3,40,18,19,18
75,91,0,52,14,10,14
76,72,0,59,28,12,16
77,87,0,71,17,15,14
78,65,1,84,21,12,15
79,75,0,118,26,16,13
80,101,1,117,35,9,15
81,75,0,113,27,15,19
82,102,0,151,45,16,15
83,74,0,163,36,19,14
84,96,2,167,60,12,13
85,104,1,189,68,16,13
86,90,0,214,94,22,9
87,96,1,261,100,11,21
88,119,1,282,118,16,9
89,137,0,310,149,17,13
90,123,1,355,143,13,21
91,120,0,374,165,17,13
92,144,1,360,206,11,18
93,135,0,383,243,14,19
94,167,3,471,252,21,16
95,185,0,471,307,12,13
96,191,2,514,339,17,19
97,161,1,503,329,16,19
98,196,0,528,387,24,13
99,230,1,547,409,14,15
100,232,2,577,429,21,16
101,245,1,528,510,19,18
102,236,1,615,499,18,21
103,231,0,513,496,17,14
104,278,0,555,489,12,18
105,271,0,544,496,15,12
106,274,2,514,514,11,17
107,241,0,510,532,19,12
108,257,1,491,501,12,17
109,293,1,495,491,19,17
110,304,1,480,494,13,13
111,301,0,425,445,17,15
112,301,1,435,455,18,18
113,297,1,407,430,30,21
114,300,2,362,423,17,26
115,292,0,337,427,24,15
116,286,0,303,371,9,13
117,286,0,280,338,13,17
118,285,2,232,342,18,17
119,312,0,187,303,23,11
120,310,1,202,297,13,13
121,262,2,160,249,9,9
122,271,0,160,192,18,12
123,242,0,141,193,16,21
124,241,3,113,187,17,13
125,270,1,112,187,19,19
126,242,0,92,167,19,16
127,226,2,79,125,12,16
128,210,1,56,119,19,21
129,171,1,64,87,10,21
130,194,3,60,77,21,19
131,190,1,52,98,17,19
132,186,0,47,78,16,11
133,181,0,20,79,18,20
134,170,0,34,54,18,20
135,137,1,25,49,31,22
136,142,0,23,40,13,18
137,145,1,18,49,21,18
138,138,1,24,37,15,15
139,131,3,24,43,14,22
140,140,1,16,31,33,18
141,139,3,19,20,15,13
142,107,0,31,24,18,26
143,123,0,30,16,14,16
144,136,0,33,27,18,16
145,107,0,31,21,21,16
146,118,2,33,20,20,25
147,104,1,30,17,14,18
148,115,1,41,23,20,20
149,123,2,30,21,9,13
150,115,1,50,13,17,17
151,134,0,65,15,14,16
152,116,2,56,27,23,26
153,100,1,75,28,18,23
154,116,0,84,18,15,18
155,105,0,72,21,25,19
156,120,2,96,13,19,12
157,94,0,135,31,13,26
158,88,0,145,18,21,19
159,121,3,147,34,18,21
160,106,1,164,26,10,23
161,113,5,189,26,14,16
162,119,2,242,18,25,15
163,98,0,291,26,17,19
164,96,3,309,20,16,23
165,115,2,383,29,18,33
166,103,1,440,29,18,16
167,99,1,518,20,21,23
168,112,1,557,34,17,19
169,105,1,602,25,15,27
170,108,1,707,21,20,12
171,111,0,788,26,27,17
172,115,0,913,23,17,25
173,94,2,1002,28,25,18
174,87,0,1083,35,15,17
175,105,0,1224,31,23,9
176,118,1,1377,20,24,26
177,92,0,1477,28,18,24
178,93,2,1572,23,20,17
179,115,3,1741,25,14,19
180,119,1,1796,25,20,13
181,95,1,2037,14,8,18
182,104,0,2113,19,23,20
183,98,0,2299,20,17,16
184,112,0,2323,25,21,15
185,115,1,2538,26,15,21
186,91,0,2761,25,20,19
187,108,0,2863,20,24,22
188,120,1,2898,23,15,20
189,119,1,3005,16,15,21
190,105,1,2963,24,18,19
191,118,0,3131,22,23,23
192,108,3,3245,23,17,11
193,90,1,3362,14,14,19
194,104,0,3415,19,14,22
195,121,0,3311,20,16,18
196,107,1,3295,18,22,14
197,115,0,3381,24,22,31
198,129,0,3335,22,19,20
199,102,3,3218,15,17,21
200,126,0,3108,21,28,20
201,104,0,3082,10,28,17
202,103,2,2969,16,30,21
203,105,3,2953,18,21,19
204,119,3,2875,17,23,20
205,112,2,2767,21,21,28
206,149,1,2545,17,19,21
207,112,1,2523,14,20,17
208,123,2,2413,17,32,20
209,115,1,2265,18,25,26
210,137,2,2091,27,25,25
211,113,1,1947,29,16,22
212,117,2,1848,21,23,32
213,130,0,1736,35,22,22
214,125,0,1598,28,24,29
215,140,3,1468,27,23,27
216,125,0,1329,27,31,20
217,136,0,1165,26,21,14
218,122,1,1135,31,22,23
219,142,2,1015,32,34,27
220,119,2,890,28,19,28
221,139,0,821,31,23,20
222,151,1,699,34,26,23
223,150,2,644,33,29,20
224,157,2,574,43,35,30
225,133,2,521,39,41,26
