E_1 / keV,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11
-0.98,0,0,0,0,0,0,0,0,0,0,0
-0.93,0,0,0,0,0,0,0,0,0,0,0
-0.88,0,0,0,0,0,0,0,0,0,0,0
-0.83,0,0,0,0,0,0,0,0,0,0,0
-0.78,0,0,0,0,0,0,0,0,0,0,0
-0.73,0,0,0,0,0,0,0,0,0,0,0
-0.68,0,0,0,0,0,0,0,0,0,0,0
-0.62,0,0,0,0,0,0,0,0,0,0,0
-0.57,0,0,0,0,0,0,0,0,0,0,0
-0.52,0,0,0,0,0,0,0,0,0,0,0
-0.47,0,0,0,0,0,0,0,0,0,0,0
-0.42,0,0,0,0,0,0,0,0,0,0,0
-0.37,0,0,0,0,0,0,0,0,0,0,0
-0.32,0,0,0,0,0,0,0,0,0,0,0
-0.27,0,0,0,0,0,0,0,0,0,0,0
-0.22,0,0,0,0,0,0,0,0,0,0,0
-0.17,0,0,0,0,0,0,0,0,0,0,0
-0.12,0,0,0,0,0,0,0,0,0,0,0
-0.07,0,0,0,0,0,0,0,0,0,0,0
-0.02,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0,0,0,0,1
0.34,0,0,0,0,0,0,0,0,0,0,1
0.39,0,0,0,0,0,0,0,0,0,0,2
0.44,0,0,0,0,0,0,0,0,0,0,1
0.49,0,0,0,0,1,0,0,0,0,0,1
0.54,0,0,0,0,0,0,0,0,0,0,2
0.59,0,0,0,0,0,0,0,0,0,0,1
0.64,0,0,0,0,1,0,0,0,0,0,0
0.69,1,0,0,0,0,0,0,0,0,0,0
0.74,2,0,0,0,0,0,0,0,1,0,0
0.8,2,0,0,1,0,0,1,0,0,0,0
0.85,0,0,0,0,0,1,0,0,0,0,1
0.9,0,0,0,0,0,0,0,0,0,0,1
0.95,0,0,0,0,0,0,1,1,1,0,3
1,0,0,0,0,0,0,1,0,0,0,2
1.05,4,0,0,0,0,0,1,0,1,0,1
1.1,3,0,0,0,3,1,2,0,1,0,3
1.15,6,0,0,0,2,0,1,1,3,0,4
1.2,12,0,1,0,0,0,0,0,0,0,1
1.25,12,0,0,0,3,1,1,2,0,0,11
1.3,17,0,0,1,3,1,1,1,1,0,10
1.35,21,0,1,2,8,2,1,1,6,1,17
1.4,17,1,0,1,10,1,3,8,5,0,18
1.45,31,1,2,1,17,8,4,5,6,3,35
1.51,37,2,1,6,20,5,9,6,6,0,41
1.56,34,2,0,8,23,8,12,7,10,4,37
1.61,41,5,1,8,32,13,23,17,19,5,68
1.66,47,3,7,18,38,15,23,22,18,4,57
1.71,51,7,7,20,38,21,33,22,27,12,77
1.76,62,5,8,24,58,25,39,31,37,14,92
1.81,65,9,7,25,55,24,46,29,46,15,126
1.86,54,10,10,30,58,42,52,39,64,22,138
1.91,52,13,8,48,61,43,60,46,57,19,134
1.96,57,9,13,51,63,38,75,43,59,16,153
2.01,46,5,13,60,66,40,79,68,61,24,154
2.06,39,19,16,56,58,46,95,65,77,27,173
2.11,65,22,13,81,57,59,69,64,72,27,161
2.16,53,12,10,87,65,51,83,74,83,29,189
2.22,53,10,11,94,59,59,91,67,78,29,180
2.27,54,17,12,110,55,71,80,60,87,32,184
2.32,61,15,10,146,53,64,97,88,88,29,200
2.37,64,10,5,192,58,65,73,76,105,38,201
2.42,60,18,10,213,70,57,83,91,92,32,223
2.47,64,15,11,321,50,57,102,82,116,37,191
2.52,48,18,8,403,58,68,98,79,102,46,214
2.57,74,18,13,453,82,50,109,79,118,38,174
2.62,41,12,7,563,64,67,104,77,115,44,177
2.67,48,21,6,653,67,58,112,65,125,57,213
2.72,52,16,11,711,60,59,123,75,135,71,199
2.77,55,18,8,797,58,47,94,72,180,65,217
2.82,41,14,12,845,75,65,109,78,210,65,198
2.87,56,21,10,865,63,57,93,84,231,87,215
2.93,67,17,11,829,66,69,104,74,350,107,225
2.98,64,19,7,799,87,68,105,92,423,96,214
3.03,58,15,6,774,75,59,106,80,565,131,211
3.08,64,19,12,628,72,56,113,92,745,141,206
3.13,55,18,7,587,62,63,118,89,971,173,214
3.18,64,14,11,480,82,59,127,83,1158,147,230
3.23,73,23,11,405,71,71,142,98,1392,201,211
3.28,80,19,4,314,71,73,115,92,1614,207,205
3.33,66,25,12,237,69,68,129,83,1829,203,211
3.38,75,14,5,166,71,65,118,94,2002,212,240
3.43,72,15,8,186,69,57,104,87,2071,204,225
3.48,103,15,6,126,67,59,159,106,2196,172,220
3.53,90,14,6,102,57,74,122,78,2200,173,211
3.58,115,16,4,111,63,74,126,87,2125,128,239
3.64,135,21,5,93,73,55,148,79,1971,116,224
3.69,126,13,11,70,59,72,122,96,1872,101,236
3.74,148,19,4,67,57,71,128,86,1680,104,217
3.79,149,14,6,69,67,61,144,91,1415,83,261
3.84,176,26,9,74,71,76,149,103,1231,65,226
3.89,176,17,16,64,67,77,150,77,1049,57,246
3.94,155,18,14,59,68,71,147,104,861,43,253
3.99,181,17,4,58,65,71,134,84,711,46,259
4.04,231,31,9,44,83,90,144,94,584,43,282
4.09,221,22,9,45,74,76,144,101,420,45,267
4.14,223,22,3,46,72,67,156,98,365,26,239
4.19,229,13,16,41,98,93,157,105,304,31,254
4.24,248,30,9,60,80,71,145,86,254,44,279
4.29,269,23,11,58,76,80,174,109,232,25,233
4.35,283,20,8,46,68,68,177,114,193,30,245
4.4,289,25,9,38,68,70,182,117,150,28,277
4.45,296,22,8,51,77,93,195,108,144,30,284
4.5,331,14,6,50,71,86,215,95,135,22,296
4.55,318,28,7,48,68,88,256,112,106,34,257
4.6,327,26,11,43,79,93,206,118,95,28,270
4.65,386,24,9,46,79,82,216,115,73,21,300
4.7,354,18,9,51,84,96,229,117,60,35,277
4.75,384,29,11,57,81,96,256,126,74,19,298
4.8,353,17,6,71,64,81,186,131,61,19,288
4.85,439,20,6,40,88,84,203,126,46,31,265
4.9,419,26,12,54,69,82,203,138,52,25,285
4.95,409,26,9,51,72,89,215,129,35,28,333
5,472,20,6,51,67,82,190,127,51,21,325
5.06,435,33,7,54,80,90,194,118,41,27,311
5.11,434,35,18,35,77,76,219,125,55,27,321
5.16,444,33,13,47,95,98,212,142,50,32,314
5.21,469,33,12,50,76,117,196,151,42,30,320
5.26,434,32,10,43,67,85,226,130,53,26,340
5.31,471,35,6,45,79,82,201,150,53,32,325
5.36,475,33,16,61,72,95,217,149,57,31,332
5.41,554,25,5,56,93,101,224,151,56,13,336
5.46,541,31,12,55,76,119,254,184,74,28,337
5.51,547,36,5,62,91,78,287,178,54,31,346
5.56,610,36,14,46,89,97,280,186,54,35,390
5.61,583,38,21,53,86,120,279,195,71,30,406
5.66,656,35,9,67,102,112,300,216,51,31,401
5.71,652,40,10,61,90,107,336,244,58,34,398
5.77,687,43,14,52,102,106,358,264,77,35,406
5.82,710,36,11,65,96,118,468,257,59,21,423
5.87,702,32,10,62,87,93,584,272,52,24,366
5.92,744,37,10,57,92,104,728,255,52,23,382
5.97,785,47,12,64,120,118,1190,233,56,21,380
6.02,783,45,10,68,121,111,1896,244,66,26,394
6.07,875,50,16,60,130,98,2966,213,53,27,440
6.12,875,40,11,81,134,102,4490,232,52,43,422
6.17,900,53,17,82,150,122,6725,239,61,36,414
6.22,886,55,23,98,179,119,9352,207,59,45,460
6.27,948,50,18,105,146,101,12536,235,75,37,473
6.32,974,78,19,104,177,146,14912,241,96,54,441
6.37,940,65,33,104,187,126,16735,224,87,46,501
6.42,973,73,25,114,191,152,17856,217,100,68,512
6.48,952,52,27,118,194,152,17058,247,100,44,515
6.53,1024,49,22,114,171,140,15376,272,94,66,520
6.58,1039,62,28,128,153,160,13049,238,88,62,539
6.63,1063,55,23,108,149,155,10296,246,89,55,577
6.68,1020,64,17,79,141,151,7261,265,102,41,521
6.73,1073,62,22,93,148,152,5223,273,62,42,521
6.78,1155,51,20,94,127,182,3871,269,82,45,520
6.83,1124,43,19,94,140,206,3003,291,85,52,591
6.88,1210,63,22,109,143,182,2548,372,74,49,607
6.93,1213,60,30,126,165,214,2608,503,83,43,618
6.98,1289,66,18,111,164,186,2761,668,59,43,618
7.03,1340,63,15,128,167,206,2821,1042,90,55,725
7.08,1592,70,24,153,214,188,2831,1694,64,49,850
7.13,1797,79,24,119,199,192,2765,2755,91,51,952
7.19,2025,63,18,126,193,186,2267,4252,94,55,1053
7.24,2336,77,31,150,189,175,1868,6337,91,62,1172
7.29,2793,74,33,146,231,207,1379,8820,108,66,1298
7.34,3598,73,36,119,226,193,919,11289,106,56,1230
7.39,4330,85,30,154,269,226,594,13331,101,76,1226
7.44,5527,140,35,184,279,208,388,14876,114,83,1245
7.49,6808,198,53,179,294,229,210,14899,129,70,1140
7.54,8118,303,26,181,225,232,110,13938,139,87,1048
