angle,R_0 / 1/s,n&l / pm,E / keV
2,18.5,19.7,63
2.1,13.6,20.7,60
2.2,11.3,21.7,57.3
2.3,6.4,22.6,54.8
2.4,4.4,23.6,52.5
2.5,3.9,24.6,50.4
2.6,3.3,25.6,48.5
2.7,3.1,26.6,46.7
2.8,2.5,27.6,45
2.9,3.3,28.5,43.5
3,3.3,29.5,42
3.1,4.9,30.5,40.6
3.2,4.4,31.5,39.4
3.3,5.3,32.5,38.2
3.4,11.1,33.4,37.1
3.5,22.7,34.4,36
3.6,38.8,35.4,35
3.7,49.7,36.4,34.1
3.8,57.3,37.4,33.2
3.9,58.8,38.4,32.3
4,64,39.3,31.5
4.1,53.5,40.3,30.7
4.2,50.3,41.3,30
4.3,45.2,42.3,29.3
4.4,43.5,43.3,28.7
4.5,39,44.3,28
4.6,36.2,45.2,27.4
4.7,60.2,46.2,26.8
4.8,113.4,47.2,26.3
4.9,187.5,48.2,25.7
5,200.1,49.2,25.2
5.1,199.5,50.1,24.7
5.2,190.6,51.1,24.3
5.3,178.1,52.1,23.8
5.4,163.2,53.1,23.4
5.5,156.6,54.1,22.9
5.6,148.3,55,22.5
5.7,138.6,56,22.1
5.8,133.3,57,21.8
5.9,123.9,58,21.4
6,112.6,59,21
6.1,147.3,59.9,20.7
6.2,223.7,60.9,20.4
6.3,223.2,61.9,20
6.4,164.1,62.9,19.7
6.5,86.7,63.8,19.4
6.6,80.4,64.8,19.1
6.7,72.1,65.8,18.8
6.8,68.1,66.8,18.6
6.9,148.3,67.8,18.3
7,366.4,68.7,18
7.1,396.7,69.7,17.8
7.2,243.7,70.7,17.5
7.3,68.7,71.7,17.3
7.4,49.2,72.6,17.1
7.5,44.8,73.6,16.8
7.6,41,74.6,16.6
7.7,37.7,75.6,16.4
7.8,36.7,76.5,16.2
7.9,33,77.5,16
8,27.3,78.5,15.8
8.1,26.5,79.5,15.6
8.2,26.6,80.4,15.4
8.3,24.1,81.4,15.2
8.4,23.3,82.4,15
8.5,22.7,83.4,14.9
8.6,19.1,84.3,14.7
8.7,18.9,85.3,14.5
8.8,17.5,86.3,14.4
8.9,17.1,87.3,14.2
9,13.6,88.2,14.1
9.1,12.3,89.2,13.9
9.2,13.3,90.2,13.7
9.3,11.7,91.1,13.6
9.4,10.6,92.1,13.5
9.5,9.6,93.1,13.3
9.6,15.2,94.1,13.2
9.7,24,95,
9.8,36.2,96,
9.9,43.2,97,
10,44.6,97.9,
10.1,40.9,98.9,
10.2,47.4,99.9,
10.3,41,100.8,
10.4,38.8,101.8,
10.5,39.1,102.8,
10.6,44.4,103.7,
10.7,36.6,104.7,
10.8,37.4,105.7,
10.9,38.7,106.6,
11,37,107.6,
11.1,38,108.6,
11.2,36.1,109.5,
11.3,30.3,110.5,
11.4,34.4,111.5,
11.5,32.4,112.4,
11.6,30.7,113.4,
11.7,26.2,114.4,
11.8,28.2,115.3,
11.9,28.9,116.3,
12,28.7,117.3,
12.1,25.1,118.2,
12.2,22.6,119.2,
12.3,22.5,120.1,
12.4,25.9,121.1,
12.5,34.1,122.1,
12.6,37.5,123,
12.7,60.5,124,
12.8,69,125,
12.9,50.4,125.9,
13,24.4,126.9,
13.1,21.5,127.8,
13.2,22.3,128.8,
13.3,17.8,129.7,
13.4,21.2,130.7,
13.5,18.8,131.7,
13.6,17.4,132.6,
13.7,17,133.6,
13.8,13.6,134.5,
13.9,15.4,135.5,
14,16.2,136.4,
14.1,15.8,137.4,
14.2,21.4,138.4,
14.3,82.7,139.3,
14.4,133.1,140.3,
14.5,101.5,141.2,
14.6,37.8,142.2,
14.7,15.5,143.1,
14.8,16.1,144.1,
14.9,20.1,145,
15,18.6,146,
