angle,n&l / pm,E / keV,R_2 / 1/s,T_2 / %
2,19.7,63,13.9,154.4
2.1,20.7,60,,91.1
2.2,21.7,57.3,5.6,59.6
2.3,22.6,54.8,5.2,70.3
2.4,23.6,52.5,2.5,30.9
2.5,24.6,50.4,2.1,31.3
2.6,25.6,48.5,2.6,31.7
2.7,26.6,46.7,2.3,24
2.8,27.6,45,2.8,34.6
2.9,28.5,43.5,2.3,27.4
3,29.5,42,3.6,34.6
3.1,30.5,40.6,4.9,49
3.2,31.5,39.4,4.6,35.9
3.3,32.5,38.2,11.4,44.7
3.4,33.4,37.1,21.7,36.5
3.5,34.4,36,41.1,36.4
3.6,35.4,35,59.1,31.9
3.7,36.4,34.1,78.7,30.6
3.8,37.4,33.2,82.3,27.3
3.9,38.4,32.3,82.6,23.9
4,39.3,31.5,71.4,18.8
4.1,40.3,30.7,64.5,16.3
4.2,41.3,30,60.7,14.5
4.3,42.3,29.3,48.3,11.8
4.4,43.3,28.7,44.1,10.2
4.5,44.3,28,43.3,10.6
4.6,45.2,27.4,58.2,13.8
4.7,46.2,26.8,102.7,24.8
4.8,47.2,26.3,164.1,40.1
4.9,48.2,25.7,204.5,49.6
5,49.2,25.2,213.6,52.4
5.1,50.1,24.7,216.1,54.2
5.2,51.1,24.3,195.2,49
5.3,52.1,23.8,184.9,47.7
5.4,53.1,23.4,174.1,46.1
5.5,54.1,22.9,171.6,47.2
5.6,55,22.5,156.8,46.8
5.7,56,22.1,137.7,41.5
5.8,57,21.8,127.8,39.1
5.9,58,21.4,117.5,36.3
6,59,21,130.2,37.2
6.1,59.9,20.7,181.1,36.3
6.2,60.9,20.4,222,35
6.3,61.9,20,184,30.7
6.4,62.9,19.7,134.1,31.8
6.5,63.8,19.4,107.5,29.9
6.6,64.8,19.1,81.2,27.6
6.7,65.8,18.8,67.5,26.4
6.8,66.8,18.6,100,28.8
6.9,67.8,18.3,243.1,28.8
7,68.7,18,275.5,22.1
7.1,69.7,17.8,258.8,21.9
7.2,70.7,17.5,120.8,19.8
7.3,71.7,17.3,95.9,20.8
7.4,72.6,17.1,53.4,18.7
7.5,73.6,16.8,41.7,19.7
7.6,74.6,16.6,40,19.7
7.7,75.6,16.4,35.7,17.8
7.8,76.5,16.2,33.7,17.4
7.9,77.5,16,32.5,17.3
8,78.5,15.8,30.5,16.1
8.1,79.5,15.6,27.2,15.7
8.2,80.4,15.4,25.4,14.4
8.3,81.4,15.2,22.5,13.5
8.4,82.4,15,21.8,13.8
8.5,83.4,14.9,20.5,14.1
8.6,84.3,14.7,17.9,11.4
8.7,85.3,14.5,14.8,10.6
8.8,86.3,14.4,15,11.1
8.9,87.3,14.2,16.9,12.8
9,88.2,14.1,13.3,10.2
9.1,89.2,13.9,11.9,9.6
9.2,90.2,13.7,12,10
9.3,91.1,13.6,10,8.8
9.4,92.1,13.5,10.9,10
9.5,93.1,13.3,8.3,8.4
9.6,94.1,13.2,14.9,15.2
9.7,95,,21.2,22.4
9.8,96,,31.9,33.4
9.9,97,,30.5,33
10,97.9,,31.3,37
10.1,98.9,,30.7,36.1
10.2,99.9,,33.1,43.4
10.3,100.8,,30.8,38.9
10.4,101.8,,30.1,38.8
