angle,n&l / pm,E / keV,R_4 / 1/s,T_4 / %
2,19.7,63,14.6,
2.1,20.7,60,11.4,144.3
2.2,21.7,57.3,8.3,88.3
2.3,22.6,54.8,8.7,117.6
2.4,23.6,52.5,7.2,88.9
2.5,24.6,50.4,7.4,110.4
2.6,25.6,48.5,6.9,84.1
2.7,26.6,46.7,5.9,61.5
2.8,27.6,45,7.2,88.9
2.9,28.5,43.5,6.8,81
3,29.5,42,7.6,73.1
3.1,30.5,40.6,7.6,76
3.2,31.5,39.4,9.8,76.6
3.3,32.5,38.2,22.2,87.1
3.4,33.4,37.1,46.5,78.2
3.5,34.4,36,103.1,91.4
3.6,35.4,35,186.5,100.8
3.7,36.4,34.1,276.1,107.3
3.8,37.4,33.2,346.6,115
3.9,38.4,32.3,383.2,110.8
4,39.3,31.5,432.1,114
4.1,40.3,30.7,460.9,116.8
4.2,41.3,30,452.1,108
4.3,42.3,29.3,451.2,110.5
4.4,43.3,28.7,438.2,101.4
4.5,44.3,28,423.7,103.5
4.6,45.2,27.4,393,93.3
4.7,46.2,26.8,373.7,90.2
4.8,47.2,26.3,342.6,83.6
4.9,48.2,25.7,340,82.4
5,49.2,25.2,326.1,80
5.1,50.1,24.7,316.4,79.4
5.2,51.1,24.3,291.6,73.2
5.3,52.1,23.8,290,74.9
5.4,53.1,23.4,274.5,72.7
5.5,54.1,22.9,258.6,71.1
5.6,55,22.5,242.4,72.4
5.7,56,22.1,230.2,69.3
5.8,57,21.8,211.6,64.8
5.9,58,21.4,209.6,64.7
6,59,21,224.6,64.2
6.1,59.9,20.7,312.2,62.6
6.2,60.9,20.4,359.8,56.7
6.3,61.9,20,346.5,57.8
6.4,62.9,19.7,264.2,62.7
6.5,63.8,19.4,243.7,67.8
6.6,64.8,19.1,167.2,56.9
6.7,65.8,18.8,134.9,52.7
6.8,66.8,18.6,181.3,52.2
6.9,67.8,18.3,378,44.7
7,68.7,18,575.9,46.2
7.1,69.7,17.8,581,49.1
7.2,70.7,17.5,370.1,60.7
7.3,71.7,17.3,344.4,74.8
7.4,72.6,17.1,191.3,67
