n&l / pm,T_5 / %
19.7,
20.7,41.8
21.7,17
22.6,13.5
23.6,3.7
24.6,9
25.6,6.1
26.6,3.1
27.6,4.9
28.5,4.8
29.5,5.8
30.5,10
31.5,4.7
32.5,2.4
33.4,2
34.4,0.4
35.4,1.1
36.4,0.5
37.4,0.4
38.4,0.5
39.3,0.5
40.3,1
41.3,3.4
42.3,6.5
43.3,10.1
44.3,10.8
45.2,10.5
46.2,10.3
47.2,7.8
48.2,7.8
49.2,6.6
50.1,6.3
51.1,5.3
52.1,4
53.1,3.3
54.1,3.6
55,3
56,2.3
57,1.8
58,1.3
59,1.1
59.9,1.1
60.9,0.8
61.9,0.8
62.9,0.6
63.8,0.7
64.8,0.4
65.8,0.4
66.8,0.6
67.8,0.2
68.7,0.2
69.7,0.2
70.7,0.1
71.7,0.1
72.6,0.3
73.6,0.4
74.6,0.3
75.6,0.3
76.5,0.3
77.5,0.2
78.5,0.1
79.5,0.7
80.4,0.5
81.4,0.2
82.4,0.5
83.4,0.6
84.3,0.6
85.3,1.1
86.3,2.2
87.3,4.7
88.2,6.5
89.2,7.3
90.2,8
91.1,5.3
92.1,6.4
93.1,7.2
94.1,6.2
95,7.4
96,5.9
97,3.3
97.9,5.2
98.9,5.5
99.9,5.1
100.8,4.6
101.8,4.4
102.8,3.3
103.7,4.7
104.7,4.4
105.7,3.6
106.6,4.6
107.6,3
108.6,3.5
109.5,2.5
110.5,2.2
111.5,2.2
112.4,3.6
113.4,1.8
114.4,2
115.3,1.7
116.3,1.1
117.3,2
118.2,0.9
119.2,1.6
120.1,0.7
121.1,1.1
122.1,0.8
123,1.4
124,0.6
125,1.1
125.9,0.5
126.9,1.6
127.8,1.1
128.8,1.3
129.7,2.7
130.7,2.3
131.7,4.4
132.6,3.4
133.6,4.9
134.5,2.7
135.5,3.6
136.4,3.6
137.4,3.4
138.4,1
139.3,0.8
140.3,0.9
141.2,0.9
142.2,2.6
143.1,1.9
144.1,2.3
145,4.7
146,3.7
146.9,4.2
147.9,3.3
148.8,4.1
149.8,2.1
150.7,2.2
151.7,2.7
152.6,2.8
153.6,3.1
154.5,2.9
155.5,3.2
156.4,2.5
157.4,4
158.3,3.1
159.2,2.1
160.2,2.4
161.1,1.9
162.1,2.4
163,3.8
164,2.6
164.9,1.1
165.8,2.5
166.8,2
167.7,2.6
168.7,1.1
169.6,3.3
170.5,1.5
171.5,4.5
172.4,2.7
173.3,3
174.3,2.2
175.2,
176.2,
177.1,
178,
179,
179.9,
180.8,
181.8,
182.7,
183.6,
184.6,
185.5,
186.4,
187.3,
188.3,
189.2,
190.1,
191,
192,
192.9,
