angle,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s,R_5 / 1/s,R_6 / 1/s,R_7 / 1/s,R_8 / 1/s,R_9 / 1/s,R_10 / 1/s,n&l / pm,E / keV,T_1 / %,T_2 / %,T_3 / %,T_4 / %,T_5 / %,T_6 / %,T_7 / %,T_8 / %,T_9 / %,T_10 / %,T_11 / %
-0.9,16,14,11,17.8,21,,,,,,,-8.9,,87.5,68.8,111.3,131.3,,,,,,,
-0.8,13,26,37,31,37.4,,,,,,,-7.9,,200,284.6,238.5,287.7,,,,,,,
-0.7,34,57,82,61.6,84,,,,,,,-6.9,,167.6,241.2,181.2,247.1,,,,,,,
-0.6,71,151,235,255.4,379.8,,,,,,,-5.9,,212.7,331,359.7,534.9,,,,,,,
-0.5,236,614,1001,991,1365.8,,,,,,,-4.9,,260.2,424.2,419.9,578.7,,,,,,,
-0.4,585,1430,2110,2106,2556.6,,,,,,,-3.9,,244.4,360.7,360,437,,,,,,,
-0.3,1252,2458,3111,3085.8,3513.2,,,,,,,-3,,196.3,248.5,246.5,280.6,,,,,,,
-0.2,2161,3328,3829,3848.2,4086,,,,,,,-2,,154,177.2,178.1,189.1,,,,,,,
-0.1,3097,3927,4285,4232,4367.8,,,,,,,-1,,126.8,138.4,136.6,141,,,,,,,
0,3741,4257,4406,4351.4,4403.4,,,,,,,0,4.54E+18,113.8,117.8,116.3,117.7,,,,,,,
0.1,4003,4345,4362,4370.8,4402,,,,,,,1,1259.5,108.5,109,109.2,110,,,,,,,
0.2,4264,4339,4248,4251.6,4165.8,,,,,,,2,629.8,101.8,99.6,99.7,97.7,,,,,,,
0.3,4279,4096,3992,3946.4,3726.4,,,,,,,3,419.8,95.7,93.3,92.2,87.1,,,,,,,
0.4,3775,3446,3093,3159.2,2877.8,,,,,,,3.9,314.9,91.3,81.9,83.7,76.2,,,,,,,
0.5,3178,2605,2271,2297.2,1978,,,,,,,4.9,251.9,82,71.5,72.3,62.2,,,,,,,
0.6,2341,1656,1315,1287.8,1045.6,,,,,,,5.9,209.9,70.7,56.2,55,44.7,,,,,,,
0.7,1317,750,494,497.8,322.8,,,,,,,6.9,179.9,56.9,37.5,37.8,24.5,,,,,,,
0.8,520,168,83,103.2,63.2,,,,,,,7.9,157.4,32.3,16,19.8,12.2,,,,,,,
0.9,104,47,31,29,23.6,,,,,,,8.9,140,45.2,29.8,27.9,22.7,,,,,,,
1,,,,,,,,,,,,9.8,126,,,,,,,,,,,
1.1,,,,,,,,,,,,10.8,114.5,,,,,,,,,,,
1.2,,,,,,,,,,,,11.8,105,,,,,,,,,,,
