Angle,Counts
10,26
10.1,22
10.2,25
10.3,21
10.4,23
10.5,22
10.6,22
10.7,23
10.8,26
10.9,22
11,20
11.1,21
11.2,22
11.3,19
11.4,19
11.5,17
11.6,20
11.7,20
11.8,19
11.9,17
12,20
12.1,21
12.2,20
12.3,18
12.4,16
12.5,19
12.6,20
12.7,17
12.8,18
12.9,14
13,15
13.1,15
13.2,20
13.3,22
13.4,24
13.5,31
13.6,42
13.7,47
13.8,43
13.9,34
14,19
14.1,18
14.2,21
14.3,23
14.4,21
14.5,24
14.6,17
14.7,18
14.8,19
14.9,18
15,17
15.1,27
15.2,24
15.3,41
15.4,62
15.5,138
15.6,382
15.7,911
15.8,1236
15.9,1187
16,708
16.1,227
16.2,51
16.3,36
16.4,30
16.5,33
16.6,30
16.7,27
16.8,19
16.9,26
17,23
17.1,17
17.2,16
17.3,17
17.4,15
17.5,14
17.6,14
17.7,11
17.8,10
17.9,10
18,12
18.1,8
18.2,11
18.3,10
18.4,12
18.5,11
18.6,8
18.7,10
18.8,11
18.9,10
19,6
19.1,11
19.2,8
19.3,8
19.4,9
19.5,11
19.6,7
19.7,11
19.8,10
19.9,10
20,7
20.1,8
20.2,12
20.3,11
20.4,9
20.5,10
20.6,11
20.7,10
20.8,8
20.9,8
21,7
21.1,6
21.2,6
21.3,9
21.4,8
21.5,8
21.6,9
21.7,11
21.8,9
21.9,9
22,7
22.1,10
22.2,13
22.3,18
22.4,46
22.5,114
22.6,200
22.7,254
22.8,221
22.9,122
23,33
23.1,13
23.2,11
23.3,9
23.4,10
23.5,9
23.6,10
23.7,9
23.8,10
23.9,8
24,8
24.1,8
24.2,9
24.3,8
24.4,7
24.5,7
24.6,8
24.7,8
24.8,7
24.9,5
25,7
25.1,9
25.2,11
25.3,7
25.4,5
25.5,6
25.6,6
25.7,5
25.8,5
25.9,5
26,6
26.1,5
26.2,7
26.3,7
26.4,4
26.5,6
26.6,8
26.7,12
26.8,14
26.9,19
27,12
27.1,12
27.2,9
27.3,7
27.4,7
27.5,4
27.6,8
27.7,6
27.8,8
27.9,10
28,26
28.1,51
28.2,68
28.3,66
28.4,33
28.5,19
28.6,7
28.7,7
28.8,7
28.9,6
29,5
29.1,4
29.2,5
29.3,8
29.4,5
29.5,7
29.6,7
29.7,5
29.8,7
29.9,6
30,7
30.1,4
30.2,4
30.3,5
30.4,4
30.5,5
30.6,6
30.7,5
30.8,5
30.9,3
31,4
31.1,5
31.2,5
31.3,4
31.4,6
31.5,4
31.6,3
31.7,6
31.8,6
31.9,5
32,7
32.1,6
32.2,4
32.3,4
32.4,7
32.5,5
32.6,8
32.7,8
32.8,19
32.9,51
33,62
33.1,68
33.2,51
33.3,26
33.4,12
33.5,7
33.6,7
33.7,6
33.8,5
33.9,4
34,7
34.1,5
34.2,6
34.3,6
34.4,5
34.5,5
34.6,8
34.7,6
34.8,5
34.9,6
35,6
35.1,5
35.2,5
35.3,4
35.4,6
35.5,4
35.6,6
35.7,6
35.8,8
35.9,4
36,6
36.1,6
36.2,7
36.3,7
36.4,10
36.5,10
36.6,13
36.7,9
36.8,7
36.9,6
37,6
37.1,9
37.2,13
37.3,26
37.4,68
37.5,98
37.6,96
37.7,68
37.8,29
37.9,13
38,11
38.1,9
38.2,7
38.3,7
38.4,8
38.5,7
38.6,7
38.7,7
38.8,8
38.9,7
39,4
