Atomic Number,l alpha theoretical (eV),l beta theoretical (eV),l gamma theoretical (eV),l alpha exp (eV),l beta exp (eV),l gamma exp (eV)
74,8398.0,9672.0,11288.1,11357.273788806593,9792.511388784875,8579.884420912107
82,10551.0,12614.0,14765.7,14856.025841377412,12588.079827993488,10596.726568963531
79,9713.0,11443.0,13380.8,13453.359107827593,11485.33246291412,9775.71560579842
72,7899.0,9023.0,10519.0,0.0,0.0,0.0
73,8146.0,9343.0,10898.1,0.0,0.0,0.0
75,8652.0,10010.0,11685.1,0.0,0.0,0.0
76,8911.0,10354.0,12091.9,0.0,0.0,0.0
77,9175.0,10708.0,12512.1,0.0,0.0,0.0
78,9442.0,11071.0,12941.4,0.0,0.0,0.0
80,9989.0,11824.0,13830.8,0.0,0.0,0.0
81,10269.0,12213.0,14292.3,0.0,0.0,0.0
83,10839.0,13023.0,15247.0,0.0,0.0,0.0
84,11131.0,13446.0,15744.0,0.0,0.0,0.0
