angle,n&l / pm,R_0 / 1/s,E / keV
2,19.7,19.4,63
2.1,20.7,13.3,60
2.2,21.7,8.8,57.3
2.3,22.6,5.6,54.8
2.4,23.6,3.7,52.5
2.5,24.6,2.1,50.4
2.6,25.6,1.1,48.5
2.7,26.6,1.5,46.7
2.8,27.6,1.1,45
2.9,28.5,1.7,43.5
3,29.5,1.4,42
3.1,30.5,2.5,40.6
3.2,31.5,1.9,39.4
3.3,32.5,1.7,38.2
3.4,33.4,2,37.1
3.5,34.4,6.1,36
3.6,35.4,12.4,35
3.7,36.4,18,34.1
3.8,37.4,19.6,33.2
3.9,38.4,20.5,32.3
4,39.3,17.6,31.5
4.1,40.3,19.1,30.7
4.2,41.3,17.2,30
4.3,42.3,11.5,29.3
4.4,43.3,13.4,28.7
4.5,44.3,10.6,28
4.6,45.2,8.7,27.4
4.7,46.2,9.3,26.8
4.8,47.2,7.1,26.3
4.9,48.2,8.9,25.7
5,49.2,5,25.2
5.1,50.1,5,24.7
5.2,51.1,5.9,24.3
5.3,52.1,4.2,23.8
5.4,53.1,4.9,23.4
5.5,54.1,5.3,22.9
5.6,55,3.9,22.5
5.7,56,4.2,22.1
5.8,57,3.8,21.8
5.9,58,4,21.4
6,59,6.4,21
6.1,59.9,26.5,20.7
6.2,60.9,95.1,20.4
6.3,61.9,147.2,20
6.4,62.9,135,19.7
6.5,63.8,73.1,19.4
6.6,64.8,52.1,19.1
6.7,65.8,47.8,18.8
6.8,66.8,40.1,18.6
6.9,67.8,57.2,18.3
7,68.7,161.7,18
7.1,69.7,230,17.8
7.2,70.7,185.8,17.5
7.3,71.7,66.8,17.3
7.4,72.6,28.3,17.1
7.5,73.6,23,16.8
7.6,74.6,20.6,16.6
7.7,75.6,16.2,16.4
7.8,76.5,15.9,16.2
7.9,77.5,15.9,16
8,78.5,13.4,15.8
8.1,79.5,12.2,15.6
8.2,80.4,9.8,15.4
8.3,81.4,10.8,15.2
8.4,82.4,9.2,15
8.5,83.4,6.4,14.9
8.6,84.3,6.3,14.7
8.7,85.3,5.9,14.5
8.8,86.3,5.4,14.4
8.9,87.3,5.1,14.2
9,88.2,3.6,14.1
9.1,89.2,3.5,13.9
9.2,90.2,4,13.7
9.3,91.1,3.5,13.6
9.4,92.1,3.5,13.5
9.5,93.1,3.2,13.3
9.6,94.1,1.9,13.2
9.7,95,3.6,
9.8,96,2,
9.9,97,2.1,
10,97.9,1.3,
10.1,98.9,1.5,
10.2,99.9,1.1,
10.3,100.8,1.5,
10.4,101.8,2.1,
10.5,102.8,1.6,
10.6,103.7,3.1,
10.7,104.7,2,
10.8,105.7,1.8,
10.9,106.6,2.2,
11,107.6,1.8,
11.1,108.6,1.7,
11.2,109.5,2.3,
11.3,110.5,2.4,
11.4,111.5,2.4,
11.5,112.4,2.9,
11.6,113.4,2.1,
11.7,114.4,2.8,
11.8,115.3,2.1,
11.9,116.3,2.8,
12,117.3,2.6,
12.1,118.2,1.3,
12.2,119.2,3,
12.3,120.1,2,
12.4,121.1,3,
12.5,122.1,10.2,
12.6,123,13.7,
12.7,124,26.9,
12.8,125,37.9,
12.9,125.9,39.5,
13,126.9,15.2,
13.1,127.8,12,
13.2,128.8,10.6,
13.3,129.7,10.1,
13.4,130.7,10.6,
13.5,131.7,7.7,
13.6,132.6,7.5,
13.7,133.6,7,
13.8,134.5,8.2,
13.9,135.5,7,
14,136.4,6.8,
14.1,137.4,7.2,
14.2,138.4,9.2,
14.3,139.3,23.4,
14.4,140.3,55.6,
14.5,141.2,64.7,
14.6,142.2,30.2,
14.7,143.1,9.9,
14.8,144.1,4.6,
14.9,145,4.8,
15,146,3.9,
