angle,n&l / pm,E / keV,R_3 / 1/s,T_3 / %
2,19.7,63,13.1,
2.1,20.7,60,9.3,117.7
2.2,21.7,57.3,6.5,69.1
2.3,22.6,54.8,4.6,62.2
2.4,23.6,52.5,1.9,23.5
2.5,24.6,50.4,1.1,16.4
2.6,25.6,48.5,1,12.2
2.7,26.6,46.7,1.4,14.6
2.8,27.6,45,1.6,19.8
2.9,28.5,43.5,1.3,15.5
3,29.5,42,1.7,16.3
3.1,30.5,40.6,1.9,19
3.2,31.5,39.4,2.5,19.5
3.3,32.5,38.2,3.8,14.9
3.4,33.4,37.1,7.9,13.3
3.5,34.4,36,13.2,11.7
3.6,35.4,35,25.7,13.9
3.7,36.4,34.1,34.5,13.4
3.8,37.4,33.2,36,11.9
3.9,38.4,32.3,40.1,11.6
4,39.3,31.5,32.1,8.5
4.1,40.3,30.7,27.1,6.9
4.2,41.3,30,28.6,6.8
4.3,42.3,29.3,17.4,4.3
4.4,43.3,28.7,17.7,4.1
4.5,44.3,28,13.1,3.2
4.6,45.2,27.4,12,2.8
4.7,46.2,26.8,10.7,2.6
4.8,47.2,26.3,7.9,1.9
4.9,48.2,25.7,7.8,1.9
5,49.2,25.2,6.1,1.5
5.1,50.1,24.7,6.3,1.6
5.2,51.1,24.3,5.5,1.4
5.3,52.1,23.8,4.9,1.3
5.4,53.1,23.4,3.8,1
5.5,54.1,22.9,3.4,0.9
5.6,55,22.5,3.7,1.1
5.7,56,22.1,2.5,0.8
5.8,57,21.8,3.5,1.1
5.9,58,21.4,5.6,1.7
6,59,21,20.5,5.9
6.1,59.9,20.7,65,13
6.2,60.9,20.4,113.9,18
6.3,61.9,20,110.2,18.4
6.4,62.9,19.7,90.1,21.4
6.5,63.8,19.4,85.6,23.8
6.6,64.8,19.1,58.4,19.9
6.7,65.8,18.8,45.3,17.7
6.8,66.8,18.6,52,15
6.9,67.8,18.3,105.4,12.5
7,68.7,18,150.5,12.1
7.1,69.7,17.8,149,12.6
7.2,70.7,17.5,89.6,14.7
7.3,71.7,17.3,76.3,16.6
7.4,72.6,17.1,39.8,13.9
7.5,73.6,16.8,21.7,10.3
7.6,74.6,16.6,18.2,8.9
7.7,75.6,16.4,17.9,8.9
7.8,76.5,16.2,15.1,7.8
7.9,77.5,16,12.9,6.9
8,78.5,15.8,16.9,8.9
8.1,79.5,15.6,10.3,5.9
8.2,80.4,15.4,10.7,6.1
8.3,81.4,15.2,8.2,4.9
8.4,82.4,15,7.7,4.9
8.5,83.4,14.9,7.1,4.9
8.6,84.3,14.7,7.1,4.5
8.7,85.3,14.5,6.4,4.6
8.8,86.3,14.4,5.6,4.2
8.9,87.3,14.2,4.3,3.3
9,88.2,14.1,5.4,4.1
9.1,89.2,13.9,5.6,4.5
9.2,90.2,13.7,3.6,3
9.3,91.1,13.6,3.3,2.9
9.4,92.1,13.5,2.2,2
9.5,93.1,13.3,2.8,2.8
9.6,94.1,13.2,2.3,2.3
9.7,95,,2.1,2.2
9.8,96,,2.2,2.3
9.9,97,,1.7,1.8
10,97.9,,1.1,1.3
10.1,98.9,,2.2,2.6
10.2,99.9,,1.8,2.4
10.3,100.8,,1.2,1.5
10.4,101.8,,1.3,1.7
10.5,102.8,,2.2,2.8
10.6,103.7,,2,2.7
10.7,104.7,,2.3,3.1
10.8,105.7,,1.9,2.7
10.9,106.6,,1.3,1.9
11,107.6,,0.7,0.9
11.1,108.6,,2.3,3.4
11.2,109.5,,1.5,2.2
11.3,110.5,,1.4,2
11.4,111.5,,3.5,5
11.5,112.4,,2,2.9
11.6,113.4,,3.1,4.7
11.7,114.4,,2.5,3.6
11.8,115.3,,2.9,4.5
11.9,116.3,,3,4.8
12,117.3,,2.1,3.3
12.1,118.2,,1.7,2.6
12.2,119.2,,2.5,4
12.3,120.1,,4,5.9
12.4,121.1,,5.3,7.2
12.5,122.1,,9.6,11.4
12.6,123,,18.1,16.4
12.7,124,,25.7,18.6
12.8,125,,23.6,17.2
12.9,125.9,,13.1,14.8
13,126.9,,9.5,14.1
13.1,127.8,,9.4,14.2
13.2,128.8,,8.1,13.5
13.3,129.7,,8.1,13.9
13.4,130.7,,7.4,12
13.5,131.7,,7.7,13.5
13.6,132.6,,6.9,12.4
13.7,133.6,,6.9,13.1
13.8,134.5,,6,11.6
13.9,135.5,,5.3,9.6
14,136.4,,6.9,11.4
14.1,137.4,,6.7,9.5
14.2,138.4,,21.8,13.6
14.3,139.3,,35.9,11.4
14.4,140.3,,41.3,11.9
14.5,141.2,,23.1,12.3
14.6,142.2,,9.3,10.3
14.7,143.1,,5.9,6.8
14.8,144.1,,5.4,8.2
14.9,145,,3.5,7.1
15,146,,3.1,6.8
15.1,146.9,,3.5,8.1
15.2,147.9,,3.4,7.6
15.3,148.8,,2.7,6.2
15.4,149.8,,3.6,8.6
15.5,150.7,,3.4,7.4
15.6,151.7,,2.8,6.8
15.7,152.6,,2.6,6.1
15.8,153.6,,3.8,9.2
15.9,154.5,,2.6,6.2
16,155.5,,2.6,5.9
16.1,156.4,,1.9,4.7
16.2,157.4,,2.4,5.6
16.3,158.3,,1.8,4.7
16.4,159.2,,2.7,6.4
16.5,160.2,,1.2,3.2
16.6,161.1,,2.2,6
16.7,162.1,,1.7,4.1
16.8,163,,2.3,5.8
16.9,164,,1.4,4
17,164.9,,1.6,4.4
17.1,165.8,,1.2,3.3
17.2,166.8,,0.9,2.6
17.3,167.7,,1.4,4.1
17.4,168.7,,1.9,5.4
17.5,169.6,,1.1,3.6
17.6,170.5,,1.8,5.6
17.7,171.5,,0.5,1.7
17.8,172.4,,1.4,4.7
17.9,173.3,,1.1,3.7
18,174.3,,1.4,4.5
18.1,175.2,,1.7,5.7
18.2,176.2,,1.1,3.8
18.3,177.1,,1.8,6.1
18.4,178,,1.2,4.4
18.5,179,,1.8,6.3
18.6,179.9,,1.1,4.2
18.7,180.8,,2.1,7.6
18.8,181.8,,1.8,5.9
18.9,182.7,,1.9,7.5
19,183.6,,2.7,8.9
19.1,184.6,,3.7,12.4
19.2,185.5,,3.1,10
19.3,186.4,,7,16.6
19.4,187.3,,6.2,12.8
19.5,188.3,,7.7,18.7
19.6,189.2,,3.5,12.4
19.7,190.1,,2.5,9.1
19.8,191,,3,11.7
19.9,192,,3.5,15.5
20,192.9,,2.6,12.3
