angle,n&l / pm,E / keV,R_0 / 1/s
2,19.7,63,
2.1,20.7,60,7.9
2.2,21.7,57.3,9.4
2.3,22.6,54.8,7.4
2.4,23.6,52.5,8.1
2.5,24.6,50.4,6.7
2.6,25.6,48.5,8.2
2.7,26.6,46.7,9.6
2.8,27.6,45,8.1
2.9,28.5,43.5,8.4
3,29.5,42,10.4
3.1,30.5,40.6,10
3.2,31.5,39.4,12.8
3.3,32.5,38.2,25.5
3.4,33.4,37.1,59.5
3.5,34.4,36,112.8
3.6,35.4,35,185
3.7,36.4,34.1,257.2
3.8,37.4,33.2,301.3
3.9,38.4,32.3,346
4,39.3,31.5,378.9
4.1,40.3,30.7,394.5
4.2,41.3,30,418.8
4.3,42.3,29.3,408.5
4.4,43.3,28.7,432.2
4.5,44.3,28,409.3
4.6,45.2,27.4,421.4
4.7,46.2,26.8,414.5
4.8,47.2,26.3,409.7
4.9,48.2,25.7,412.7
5,49.2,25.2,407.8
5.1,50.1,24.7,398.5
5.2,51.1,24.3,398.1
5.3,52.1,23.8,387.4
5.4,53.1,23.4,377.6
5.5,54.1,22.9,363.6
5.6,55,22.5,334.8
5.7,56,22.1,332.2
5.8,57,21.8,326.5
5.9,58,21.4,324
6,59,21,349.9
6.1,59.9,20.7,498.9
6.2,60.9,20.4,634.3
6.3,61.9,20,599.2
6.4,62.9,19.7,421.3
6.5,63.8,19.4,359.7
6.6,64.8,19.1,293.9
6.7,65.8,18.8,256.1
6.8,66.8,18.6,347.1
6.9,67.8,18.3,845.4
7,68.7,18,1247.7
7.1,69.7,17.8,1183.9
7.2,70.7,17.5,609.9
7.3,71.7,17.3,460.3
7.4,72.6,17.1,285.5
7.5,73.6,16.8,211.7
7.6,74.6,16.6,203.4
7.7,75.6,16.4,200.4
7.8,76.5,16.2,193.7
7.9,77.5,16,188.3
8,78.5,15.8,189.4
8.1,79.5,15.6,173.7
8.2,80.4,15.4,176.2
8.3,81.4,15.2,166.6
8.4,82.4,15,158.3
8.5,83.4,14.9,145.7
8.6,84.3,14.7,156.4
8.7,85.3,14.5,139.9
8.8,86.3,14.4,134.7
8.9,87.3,14.2,131.7
9,88.2,14.1,130.8
9.1,89.2,13.9,123.7
9.2,90.2,13.7,120.1
9.3,91.1,13.6,114
9.4,92.1,13.5,109
9.5,93.1,13.3,98.6
9.6,94.1,13.2,98
9.7,95,,94.8
9.8,96,,95.4
9.9,97,,92.3
10,97.9,,84.6
10.1,98.9,,85.1
10.2,99.9,,76.3
10.3,100.8,,79.1
10.4,101.8,,77.5
10.5,102.8,,79
10.6,103.7,,74
10.7,104.7,,75.2
10.8,105.7,,69.8
10.9,106.6,,69.1
11,107.6,,73.8
11.1,108.6,,68.3
11.2,109.5,,68.3
11.3,110.5,,71.5
11.4,111.5,,69.4
11.5,112.4,,68.8
11.6,113.4,,66.2
11.7,114.4,,69.4
11.8,115.3,,64.6
11.9,116.3,,63.1
12,117.3,,64.4
12.1,118.2,,64.7
12.2,119.2,,62.1
12.3,120.1,,68
12.4,121.1,,73.2
12.5,122.1,,84.2
12.6,123,,110.4
12.7,124,,137.9
12.8,125,,137.3
12.9,125.9,,88.8
13,126.9,,67.5
13.1,127.8,,66
13.2,128.8,,59.9
13.3,129.7,,58.4
13.4,130.7,,61.7
13.5,131.7,,57.2
13.6,132.6,,55.5
13.7,133.6,,52.6
13.8,134.5,,51.9
13.9,135.5,,55.3
14,136.4,,60.6
14.1,137.4,,70.5
14.2,138.4,,159.8
14.3,139.3,,315.7
14.4,140.3,,348.5
14.5,141.2,,187.7
14.6,142.2,,90.7
14.7,143.1,,86.3
14.8,144.1,,65.7
14.9,145,,49
15,146,,45.9
15.1,146.9,,43.2
15.2,147.9,,44.9
15.3,148.8,,43.8
15.4,149.8,,42
15.5,150.7,,46
15.6,151.7,,41.3
15.7,152.6,,42.9
15.8,153.6,,41.4
15.9,154.5,,41.8
16,155.5,,43.8
16.1,156.4,,40.3
16.2,157.4,,42.6
16.3,158.3,,38.4
16.4,159.2,,42.2
16.5,160.2,,37.7
16.6,161.1,,36.9
16.7,162.1,,41.3
16.8,163,,39.5
16.9,164,,34.8
17,164.9,,36.1
17.1,165.8,,36.5
17.2,166.8,,34.3
17.3,167.7,,34.1
17.4,168.7,,34.9
17.5,169.6,,30.5
17.6,170.5,,32.4
17.7,171.5,,29.1
17.8,172.4,,29.5
17.9,173.3,,29.6
18,174.3,,31.4
18.1,175.2,,30
18.2,176.2,,29.2
18.3,177.1,,29.7
18.4,178,,27.5
18.5,179,,28.6
18.6,179.9,,26.4
18.7,180.8,,27.6
18.8,181.8,,30.5
18.9,182.7,,25.4
19,183.6,,30.4
19.1,184.6,,29.9
19.2,185.5,,31.1
19.3,186.4,,42.2
19.4,187.3,,48.6
19.5,188.3,,41.2
19.6,189.2,,28.2
19.7,190.1,,27.6
19.8,191,,25.6
19.9,192,,22.6
20,192.9,,21.1
