angle,n&l / pm,E / keV,R_1 / 1/s,T_1 / %
2,19.7,63,28.5,316.7
2.1,20.7,60,20.1,254.4
2.2,21.7,57.3,15.1,160.6
2.3,22.6,54.8,9.9,133.8
2.4,23.6,52.5,6.2,76.5
2.5,24.6,50.4,4.8,71.6
2.6,25.6,48.5,4.1,50
2.7,26.6,46.7,4.7,49
2.8,27.6,45,4.9,60.5
2.9,28.5,43.5,4.6,54.8
3,29.5,42,4.1,39.4
3.1,30.5,40.6,5.1,51
3.2,31.5,39.4,9.8,76.6
3.3,32.5,38.2,20.1,78.8
3.4,33.4,37.1,43.4,72.9
3.5,34.4,36,84.9,75.3
3.6,35.4,35,142.9,77.2
3.7,36.4,34.1,171.1,66.5
3.8,37.4,33.2,212.7,70.6
3.9,38.4,32.3,221,63.9
4,39.3,31.5,238.2,62.9
4.1,40.3,30.7,227.4,57.6
4.2,41.3,30,220.3,52.6
4.3,42.3,29.3,204.5,50.1
4.4,43.3,28.7,193.2,44.7
4.5,44.3,28,174.7,42.7
4.6,45.2,27.4,165,39.2
4.7,46.2,26.8,153.8,37.1
4.8,47.2,26.3,136.7,33.4
4.9,48.2,25.7,124.8,30.2
5,49.2,25.2,121.8,29.9
5.1,50.1,24.7,109.2,27.4
5.2,51.1,24.3,106.3,26.7
5.3,52.1,23.8,91.4,23.6
5.4,53.1,23.4,80,21.2
5.5,54.1,22.9,75.7,20.8
5.6,55,22.5,67.8,20.3
5.7,56,22.1,60.2,18.1
5.8,57,21.8,54.7,16.8
5.9,58,21.4,50.8,15.7
6,59,21,53.8,15.4
6.1,59.9,20.7,66.9,13.4
6.2,60.9,20.4,63.5,10
6.3,61.9,20,56.4,9.4
6.4,62.9,19.7,50.5,12
6.5,63.8,19.4,39.1,10.9
6.6,64.8,19.1,35.3,12
6.7,65.8,18.8,61.9,24.2
6.8,66.8,18.6,253.1,72.9
6.9,67.8,18.3,560.6,66.3
7,68.7,18,636.6,51
7.1,69.7,17.8,494,41.7
7.2,70.7,17.5,481.6,79
7.3,71.7,17.3,318.5,69.2
7.4,72.6,17.1,151.1,52.9
7.5,73.6,16.8,127.3,60.1
7.6,74.6,16.6,114.5,56.3
7.7,75.6,16.4,117.7,58.7
7.8,76.5,16.2,110.9,57.3
7.9,77.5,16,106.6,56.6
8,78.5,15.8,99.1,52.3
8.1,79.5,15.6,93.6,53.9
8.2,80.4,15.4,89.6,50.9
8.3,81.4,15.2,81.9,49.2
8.4,82.4,15,76.6,48.4
8.5,83.4,14.9,76.9,52.8
8.6,84.3,14.7,65.6,41.9
8.7,85.3,14.5,64.5,46.1
8.8,86.3,14.4,66.5,49.4
8.9,87.3,14.2,56.7,43.1
9,88.2,14.1,52.5,40.1
9.1,89.2,13.9,52.1,42.1
9.2,90.2,13.7,42.1,35.1
9.3,91.1,13.6,40.4,35.4
