n&l / pm,T_6 / %
19.7,0
20.7,0
21.7,0
22.6,0
23.6,0
24.6,0
25.6,0
26.6,0
27.6,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,0
33.4,0
34.4,0
35.4,0
36.4,0
37.4,0
38.4,0
39.3,49.1
40.3,49.3
41.3,44.6
42.3,45.9
43.3,40.8
44.3,41.9
45.2,37.9
46.2,35.5
47.2,33.5
48.2,29.7
49.2,28.2
50.1,27.5
51.1,24.2
52.1,23.1
53.1,22.5
54.1,22.7
55,22.3
56,19.3
57,19.1
58,17.2
59,17.9
59.9,15.1
60.9,13.8
61.9,12.1
62.9,10.8
63.8,10.1
64.8,10.6
65.8,10
66.8,9.8
67.8,8.5
68.7,7.8
69.7,6.2
70.7,8.5
71.7,9.3
72.6,13.4
73.6,19.1
74.6,20.8
75.6,20
76.5,25.1
77.5,24
78.5,24.3
79.5,28.5
80.4,24.5
81.4,25.9
82.4,27.2
83.4,28.2
84.3,25.2
85.3,26.5
86.3,27.5
87.3,29.2
88.2,28
89.2,29.7
90.2,28.5
91.1,31.1
92.1,28.9
93.1,30.2
94.1,29.9
95,29.6
96,30.5
97,28
97.9,23.8
98.9,27.6
99.9,31.2
100.8,28.6
101.8,25.2
102.8,23.5
103.7,26.4
104.7,28.5
105.7,26.5
106.6,32.7
107.6,27
108.6,30.7
109.5,27.5
110.5,26.4
111.5,30.5
112.4,30.7
113.4,33.8
114.4,25.8
115.3,27.4
116.3,29.5
117.3,31.2
118.2,29.5
119.2,30.3
120.1,26
121.1,29.4
122.1,23.9
123,24.5
124,18.8
125,19.7
125.9,25.3
126.9,20
127.8,25.8
128.8,28.2
129.7,24.8
130.7,24.5
131.7,25.5
132.6,25.8
133.6,27.9
134.5,24.7
135.5,25.5
136.4,23.9
137.4,20
138.4,14.4
139.3,10.9
140.3,10.5
141.2,12.1
142.2,19.3
143.1,15.5
144.1,19.8
145,28
146,23.3
146.9,25.7
147.9,26.3
148.8,26.9
149.8,27.6
150.7,22.6
151.7,23.5
152.6,25.9
153.6,20.8
154.5,26.8
155.5,23.3
156.4,23.8
157.4,24.2
158.3,26.3
159.2,20.6
160.2,26.8
161.1,26
162.1,26.4
163,23.5
164,23.9
164.9,26.9
165.8,20.5
166.8,21.9
167.7,22
168.7,28.9
169.6,19.3
170.5,20.4
171.5,23
172.4,31.9
173.3,23.6
174.3,24.5
175.2,
176.2,
177.1,
178,
179,
179.9,
180.8,
181.8,
182.7,
183.6,
184.6,
185.5,
186.4,
187.3,
188.3,
189.2,
190.1,
191,
192,
192.9,
