E_1 / keV,Cu Cal,Mo Cal,Mo Filter,Pure Mo Cal,Mo Pure with Zr Filter,Mo plate with Zr Filter,Cu Filter straight through,Brass with Copper Filter,Brass no filter,Al Filter Mo straight through
-0.42,0,0,0,0,0,0,0,0,0,0
-0.32,0,0,0,0,0,0,0,0,0,0
-0.22,0,0,0,0,0,0,0,0,0,0
-0.12,0,0,0,0,0,0,0,0,0,0
-0.02,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,0,0,0,0
0.66,0,0,0,0,0,0,0,0,0,0
0.76,0,0,0,0,0,0,0,0,0,0
0.86,0,0,1,0,0,0,0,0,0,0
0.96,0,0,0,1,0,0,0,0,0,0
1.06,0,0,1,3,0,0,0,0,0,0
1.16,0,0,0,4,0,0,0,0,0,0
1.25,0,0,0,18,0,0,0,0,0,0
1.35,0,1,2,26,1,0,0,0,0,0
1.45,0,3,7,25,0,0,0,0,0,2
1.55,0,1,7,32,2,0,0,0,0,3
1.65,0,4,10,46,0,0,0,0,0,5
1.75,0,9,16,37,4,0,1,0,0,12
1.84,0,12,25,37,8,0,0,0,0,16
1.94,0,30,41,62,23,0,3,0,0,18
2.04,0,36,43,42,39,0,2,0,0,32
2.14,0,46,49,33,29,0,1,1,1,46
2.24,1,40,48,49,41,1,18,1,3,54
2.34,0,40,50,53,48,4,20,0,0,43
2.43,2,43,51,36,35,5,28,0,3,48
2.53,0,46,45,55,22,1,29,1,3,44
2.63,0,43,55,52,35,0,31,0,4,55
2.73,1,31,46,53,41,3,27,0,3,48
2.83,1,44,51,48,24,1,31,0,3,56
2.93,0,45,26,50,35,1,33,0,6,53
3.02,0,35,28,53,37,1,35,1,2,51
3.12,0,40,44,36,35,0,44,0,3,58
3.22,2,40,44,42,40,0,29,2,4,48
3.32,0,48,33,57,30,1,44,0,3,55
3.42,0,44,36,58,33,1,28,0,2,48
3.52,0,35,31,46,37,0,38,1,0,41
3.61,0,29,47,61,31,1,32,1,3,33
3.71,0,33,34,43,27,1,23,0,2,28
3.81,0,42,49,49,26,1,25,0,3,39
3.91,0,44,43,46,31,0,28,0,5,54
4.01,0,34,50,46,23,2,21,0,4,43
4.11,0,39,49,69,25,0,26,0,6,27
4.2,1,40,42,48,28,1,27,1,8,32
4.3,0,39,38,54,27,3,23,5,5,46
4.4,1,36,56,65,36,1,16,0,2,38
4.5,0,42,36,53,30,3,22,0,4,43
4.6,0,39,41,62,28,0,27,1,3,37
4.7,1,35,45,65,33,2,17,1,7,52
4.79,0,29,52,78,46,0,21,0,8,44
4.89,0,36,36,82,35,1,21,0,2,42
4.99,1,40,51,66,49,3,24,1,6,54
5.09,0,38,47,90,40,3,20,2,5,50
5.19,1,46,52,94,38,1,21,1,7,48
5.29,0,42,57,86,28,2,22,0,7,46
5.38,0,40,44,102,38,3,21,0,8,46
5.48,0,47,64,98,33,1,21,3,5,37
5.58,1,34,78,115,31,2,19,3,11,46
5.68,1,41,87,123,37,1,11,0,8,81
5.78,1,56,80,146,40,0,19,0,11,83
5.88,3,89,109,154,58,1,32,0,14,89
5.97,2,96,128,159,70,2,26,1,10,98
6.07,1,110,118,151,84,2,33,1,10,113
6.17,1,119,125,151,93,2,49,3,11,121
6.27,1,118,103,144,93,3,71,1,6,104
6.37,1,103,107,136,78,4,78,2,7,105
6.47,4,92,127,160,86,8,71,3,10,121
6.56,2,86,114,167,71,5,62,0,12,104
6.66,0,103,127,171,80,0,55,0,10,112
6.76,2,134,155,183,69,2,55,2,4,142
6.86,0,102,147,165,78,2,51,0,14,121
6.96,3,110,147,158,92,3,57,4,8,128
7.06,1,145,158,148,113,6,63,2,7,161
7.15,2,164,169,113,121,4,59,3,14,180
7.25,1,169,154,124,132,4,70,0,6,151
7.35,1,168,127,110,152,4,91,2,17,149
7.45,2,127,108,121,136,4,109,4,22,131
7.55,2,100,84,113,99,3,106,3,20,113
7.65,5,78,58,140,70,8,59,7,46,82
7.74,17,67,66,114,46,1,50,9,91,62
