E_1 / keV,Cu Plate,Mo Source,Ag Plate,Zr Plate,Zn Plate,Ni Plate,Fe Plate,FeCr Alloy Plate,Tin Maybe Plate,Titanium Plate,Cu Maybe,Tin Maybe Plate,Mo Plate
-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35,0,1,0,0,0,0,0,0,0,0,0,0,0
1.45,0,3,0,0,0,0,0,0,0,0,0,0,0
1.55,0,1,0,0,0,0,0,0,0,0,0,0,0
1.65,0,4,0,0,0,0,0,0,0,0,0,0,0
1.75,0,9,0,0,0,0,0,0,0,0,0,0,1
1.84,0,12,0,0,0,0,0,0,0,0,0,0,0
1.94,0,30,0,0,0,0,0,0,0,0,0,0,1
2.04,0,36,0,0,0,0,0,1,0,0,0,0,0
2.14,0,46,0,0,1,0,0,1,0,0,1,1,1
2.24,1,40,0,0,1,0,0,0,0,0,2,1,0
2.34,0,40,2,2,0,0,1,0,0,1,2,3,1
2.43,2,43,0,2,2,1,4,1,2,0,3,2,2
2.53,0,46,2,3,1,4,5,0,0,1,4,0,2
2.63,0,43,0,1,2,3,4,2,0,0,1,1,1
2.73,1,31,0,2,2,2,0,3,0,1,1,2,2
2.83,1,44,2,2,0,2,2,2,0,5,3,0,0
2.93,0,45,2,2,0,6,3,0,0,3,5,4,0
3.02,0,35,4,1,2,4,2,0,0,1,3,1,0
3.12,0,40,2,3,0,4,2,3,0,0,4,0,1
3.22,2,40,4,3,2,1,1,1,0,1,4,1,2
3.32,0,48,3,1,2,4,1,1,2,1,2,4,2
3.42,0,44,0,0,5,1,0,1,0,1,1,14,1
3.52,0,35,3,2,2,6,1,2,3,0,4,14,1
