angle,wav,E / keV,R_0 / 1/s,R_1 / 1/s,T_1 / %
5.5,54.1,22.9,41.57,16.88,40.6
5.6,55,22.5,40.33,17.28,42.9
5.7,56,22.1,43.23,17.23,39.9
5.8,57,21.8,43.57,17.27,39.6
5.9,58,21.4,44.5,18.05,40.6
6,59,21,45.13,18.97,42
6.1,59.9,20.7,45.27,17.62,38.9
6.2,60.9,20.4,43.4,17.5,40.3
6.3,61.9,20,41.87,16.63,39.7
6.4,62.9,19.7,41.2,17.52,42.5
6.5,63.8,19.4,41.87,20.32,48.5
6.6,64.8,19.1,42.07,22.57,53.6
6.7,65.8,18.8,51.27,26.53,51.8
6.8,66.8,18.6,55.73,32.17,57.7
6.9,67.8,18.3,53.63,31.72,59.1
7,68.7,18,54.23,33.05,60.9
7.1,69.7,17.8,48.07,28.57,59.4
7.2,70.7,17.5,40.13,23.92,59.6
7.3,71.7,17.3,33.7,19.53,58
7.4,72.6,17.1,28.9,18.08,62.6
7.5,73.6,16.8,26.07,16.23,62.3
7.6,74.6,16.6,26.97,15.5,57.5
7.7,75.6,16.4,26.67,15.83,59.4
7.8,76.5,16.2,25.13,15.63,62.2
7.9,77.5,16,24.33,16,65.8
8,78.5,15.8,26,15.32,58.9
8.1,79.5,15.6,25.53,16.23,63.6
8.2,80.4,15.4,23.47,16.07,68.5
8.3,81.4,15.2,24.9,15.95,64.1
8.4,82.4,15,25.6,15.57,60.8
8.5,83.4,14.9,25.2,15.77,62.6
8.6,84.3,14.7,25.33,16.15,63.8
8.7,85.3,14.5,26.1,17.02,65.2
8.8,86.3,14.4,27.1,16.6,61.3
8.9,87.3,14.2,25.8,17.1,66.3
9,88.2,14.1,25.17,18.45,73.3
9.1,89.2,13.9,22.63,17.77,78.5
9.2,90.2,13.7,24.6,18.93,77
9.3,91.1,13.6,21.1,18.03,85.5
9.4,92.1,13.5,24.97,18.6,74.5
9.5,93.1,13.3,26.57,20.97,78.9
9.6,94.1,13.2,27,21.17,78.4
9.7,95,,27.43,21.45,78.2
9.8,96,,28.83,22.43,77.8
9.9,97,,28.87,22.38,77.5
10,97.9,,25.73,22.08,85.8
10.1,98.9,,26.2,21.02,80.2
10.2,99.9,,22.97,18.35,79.9
10.3,100.8,,19.57,16.92,86.5
10.4,101.8,,18.43,16.27,88.2
10.5,102.8,,17.77,15.48,87.1
10.6,103.7,,17.93,15.35,85.6
10.7,104.7,,17.93,14.23,79.4
10.8,105.7,,17.7,14.47,81.7
10.9,106.6,,15.97,14.28,89.5
11,107.6,,16.87,13.87,82.2
11.1,108.6,,16.07,13.92,86.6
11.2,109.5,,15.27,14.5,95
11.3,110.5,,15.7,14.13,90
11.4,111.5,,16.5,14.23,86.3
11.5,112.4,,16.77,13.95,83.2
11.6,113.4,,16.8,14,83.3
11.7,114.4,,17.37,14.02,80.7
11.8,115.3,,16.47,14.15,85.9
11.9,116.3,,17.5,13.33,76.2
12,117.3,,17.3,14.58,84.3
12.1,118.2,,18.3,15.08,82.4
12.2,119.2,,17.5,14.75,84.3
12.3,120.1,,18.3,14.25,77.9
12.4,121.1,,17.37,14.07,81
12.5,122.1,,15.83,13.37,84.4
12.6,123,,14.77,12.87,87.1
