angle,low angle measurement,no filter,Ni filter,n&l / pm,E / keV
4,30.77,,,39.3,31.5
4.1,31.95,,,40.3,30.7
4.2,30.78,,,41.3,30
4.3,30.27,,,42.3,29.3
4.4,29.58,,,43.3,28.7
4.5,31.33,,,44.3,28
4.6,31.6,,,45.2,27.4
4.7,31.3,,,46.2,26.8
4.8,30.85,,,47.2,26.3
4.9,31.85,,,48.2,25.7
5,33.8,,,49.2,25.2
5.1,33.68,,,50.1,24.7
5.2,33.8,,,51.1,24.3
5.3,33.52,,,52.1,23.8
5.4,33.13,,,53.1,23.4
5.5,35.1,,,54.1,22.9
5.6,35.1,,,55,22.5
5.7,35.6,,,56,22.1
5.8,34.82,,,57,21.8
5.9,35.35,,,58,21.4
6,34.68,,,59,21
6.1,37.97,,,59.9,20.7
6.2,38.13,,,60.9,20.4
6.3,36.3,,,61.9,20
6.4,34.48,,,62.9,19.7
6.5,36.85,,,63.8,19.4
6.6,37.15,,,64.8,19.1
6.7,38.47,,,65.8,18.8
6.8,,,,66.8,18.6
6.9,,,,67.8,18.3
7,,,,68.7,18
7.1,,,,69.7,17.8
7.2,,,,70.7,17.5
7.3,,,,71.7,17.3
7.4,,,,72.6,17.1
7.5,,,,73.6,16.8
7.6,,,,74.6,16.6
7.7,,,,75.6,16.4
7.8,,,,76.5,16.2
7.9,,,,77.5,16
8,,,,78.5,15.8
8.1,,,,79.5,15.6
8.2,,,,80.4,15.4
8.3,,,,81.4,15.2
8.4,,,,82.4,15
8.5,,,,83.4,14.9
8.6,,,,84.3,14.7
8.7,,,,85.3,14.5
8.8,,,,86.3,14.4
8.9,,,,87.3,14.2
9,,,,88.2,14.1
9.1,,,,89.2,13.9
9.2,,,,90.2,13.7
9.3,,,,91.1,13.6
9.4,,,,92.1,13.5
9.5,,,,93.1,13.3
9.6,,,,94.1,13.2
9.7,,,,95,13
9.8,,,,96,12.9
9.9,,,,97,12.8
10,,,,97.9,12.7
10.1,,,,98.9,12.5
10.2,,,,99.9,12.4
10.3,,,,100.8,12.3
10.4,,,,101.8,12.2
10.5,,,,102.8,12.1
10.6,,,,103.7,12
10.7,,,,104.7,11.8
10.8,,,,105.7,11.7
10.9,,,,106.6,11.6
11,,,,107.6,11.5
11.1,,,,108.6,11.4
11.2,,,,109.5,11.3
11.3,,,,110.5,11.2
11.4,,,,111.5,11.1
11.5,,,,112.4,11
11.6,,,,113.4,10.9
11.7,,,,114.4,10.8
11.8,,,,115.3,10.7
11.9,,,,116.3,10.7
12,,,,117.3,10.6
12.1,,,,118.2,10.5
12.2,,,,119.2,10.4
12.3,,,,120.1,10.3
12.4,,,,121.1,10.2
12.5,,,,122.1,10.2
12.6,,,,123,10.1
12.7,,,,124,10
12.8,,,,125,9.9
12.9,,,,125.9,9.8
13,,37.07,20.87,126.9,9.8
13.1,,39.73,18.27,127.8,9.7
13.2,,37.6,20,128.8,9.6
13.3,,35.53,17.87,129.7,9.6
13.4,,36.47,16.2,130.7,9.5
13.5,,35.93,18.8,131.7,9.4
13.6,,35,18.53,132.6,9.3
13.7,,35.2,17.93,133.6,9.3
13.8,,37.93,17.53,134.5,9.2
13.9,,36.8,16.53,135.5,9.2
14,,38.47,17.93,136.4,9.1
14.1,,42.13,17.87,137.4,9
14.2,,42.07,16.73,138.4,9
14.3,,41.47,17,139.3,8.9
14.4,,40.6,16.33,140.3,8.8
14.5,,39.47,17.4,141.2,8.8
14.6,,35.27,17.6,142.2,8.7
14.7,,33.6,18.47,143.1,8.7
14.8,,33.6,18.27,144.1,8.6
14.9,,31.6,16.33,145,8.5
15,,32,17.07,146,8.5
15.1,,35.2,17.93,146.9,8.4
15.2,,37.07,21.4,147.9,8.4
15.3,,37.47,19.73,148.8,8.3
15.4,,41.47,23.47,149.8,8.3
15.5,,48.93,26.67,150.7,8.2
15.6,,57.87,30,151.7,8.2
15.7,,65.33,35.33,152.6,8.1
15.8,,67.27,36.2,153.6,8.1
15.9,,68.33,34,154.5,8
16,,57.4,31.13,155.5,8
16.1,,48.2,24,156.4,7.9
16.2,,44,21.47,157.4,7.9
16.3,,31.47,18.2,158.3,7.8
16.4,,28.93,16.8,159.2,7.8
16.5,,27.4,12.33,160.2,7.7
16.6,,25.6,15.4,161.1,7.7
16.7,,26.4,15.87,162.1,7.6
16.8,,24.73,14.2,163,7.6
16.9,,25.4,14.6,164,7.6
17,,26.27,14.47,164.9,7.5
